target Mean_S/N_(ph/pxl) Mean_S/N_Y(ph/pxl) Mean_S/N_J(ph/pxl) Mean_S/N_H(ph/pxl) EchelleOrd90_MedFlux(e-/pxl) EchelleOrd90_S/N(ph/pxl) spRV enRV_vsini01 enRV_vsini1 enRV_vsini5 enRV_vsini10 Max_saturation(%)
M9V_HA 46.3 32.3 53.5 63.9 4621 67.0 1.73 1.22 1.26 2.19 4.20 0.0
M8V_HA 45.0 30.1 50.6 64.4 4557 66.5 1.87 1.39 1.43 2.50 4.86 0.0
M7V_HA 47.3 34.3 53.9 64.4 4644 67.2 1.95 1.53 1.58 2.78 5.41 0.0
M6V_HA 49.9 36.0 56.2 68.8 5148 70.8 1.98 1.66 1.71 3.00 5.85 0.0
M5V_HA 57.8 43.8 64.8 77.7 6678 80.9 2.00 1.80 1.86 3.22 6.29 0.0
M4V_HA 62.7 49.7 70.7 81.5 7565 86.2 2.16 1.92 1.98 3.40 6.58 0.0
M3V_HA 64.4 50.4 71.2 85.5 8257 90.1 2.39 2.04 2.10 3.57 6.80 0.0
M2V_HA 67.4 54.2 74.9 87.6 8662 92.3 2.66 2.18 2.24 3.70 6.96 0.0
M1V_HA 62.9 49.7 68.6 84.0 8017 88.8 3.00 2.37 2.43 3.98 7.46 0.0
K7V_HA 66.5 53.1 72.2 88.3 8962 93.9 3.38 2.27 2.33 3.82 7.17 0.0
K3V_HA 64.4 50.4 71.2 85.5 8257 90.1 2.39 2.04 2.10 3.57 6.80 0.0
G0V_HA_CFHT 96.2 88.1 108.0 111.9 13642 116.2 -- -- -- -- -- 0.0
F0V_HA_CFHT 96.2 88.1 108.0 111.9 13642 116.2 -- -- -- -- -- 0.0
G0V_HA_Eniric 96.2 89.3 108.7 115.4 13642 116.2 -- -- -- -- -- 0.0
F0V_HA_Eniric 96.2 89.3 108.7 115.4 13642 116.2 -- -- -- -- -- 0.0
M4V_HA_Eniric 62.7 50.9 71.7 85.1 7565 86.2 2.99 2.50 2.57 4.39 8.26 0.0
B3V_HA_CFHT 354.3 370.7 406.5 362.6 131834 362.9 -- -- -- -- -- 90.5
B3V_HE_CFHT 383.4 422.1 438.4 373.0 139804 372.9 -- -- -- -- -- 0.0
B8V_HA_CFHT 330.5 341.2 378.3 343.6 111726 334.0 -- -- -- -- -- 78.5
B9V_HA_CFHT 341.1 351.2 390.4 355.6 119202 345.0 -- -- -- -- -- 84.3
A1V_HE_CFHT 351.9 379.3 401.5 351.3 114279 337.0 -- -- -- -- -- 0.0
