target Mean_S/N_(ph/pxl) Mean_S/N_Y(ph/pxl) Mean_S/N_J(ph/pxl) Mean_S/N_H(ph/pxl) EchelleOrd90_MedFlux(e-/pxl) EchelleOrd90_S/N(ph/pxl) spRV enRV_vsini01 enRV_vsini1 enRV_vsini5 enRV_vsini10 Max_saturation(%)
M9V_HA 39.8 26.2 44.9 54.3 3532 58.3 2.02 1.42 1.46 2.55 4.90 0.0
M8V_HA 38.6 24.4 42.5 54.5 3456 57.6 2.18 1.62 1.67 2.92 5.67 0.0
M7V_HA 40.6 27.9 45.0 54.6 3501 58.0 2.27 1.79 1.85 3.24 6.30 0.0
M6V_HA 42.9 29.5 46.8 58.2 3821 60.7 2.31 1.94 2.00 3.49 6.82 0.0
M5V_HA 49.7 36.1 54.1 65.5 4928 69.2 2.33 2.10 2.16 3.76 7.33 0.0
M4V_HA 54.1 41.2 59.0 69.0 5440 72.8 2.52 2.24 2.30 3.97 7.67 0.0
M3V_HA 55.5 41.8 59.5 72.1 5891 75.9 2.79 2.38 2.45 4.16 7.93 0.0
M2V_HA 58.1 45.0 62.6 73.9 6241 78.1 3.10 2.54 2.61 4.32 8.12 0.0
M1V_HA 54.2 41.2 57.4 70.7 5657 74.3 3.50 2.77 2.84 4.64 8.70 0.0
K7V_HA 57.3 44.2 60.6 74.0 6226 78.0 3.94 2.65 2.72 4.46 8.37 0.0
K3V_HA 55.5 41.8 59.5 72.1 5891 75.9 2.79 2.38 2.45 4.16 7.93 0.0
G0V_HA_CFHT 83.2 73.7 91.0 94.1 9934 99.0 -- -- -- -- -- 0.0
F0V_HA_CFHT 83.2 73.7 91.0 94.1 9934 99.0 -- -- -- -- -- 0.0
G0V_HA_Eniric 83.2 75.3 92.2 96.9 9934 99.0 -- -- -- -- -- 0.0
F0V_HA_Eniric 83.2 75.3 92.2 96.9 9934 99.0 -- -- -- -- -- 0.0
M4V_HA_Eniric 54.1 42.7 60.1 71.2 5440 72.8 3.49 2.92 3.00 5.13 9.65 0.0
B3V_HA_CFHT 307.4 309.4 342.1 307.1 102744 320.3 -- -- -- -- -- 56.99999999999999
B3V_HE_CFHT 354.5 375.3 393.2 336.5 123780 350.8 -- -- -- -- -- 0.0
B8V_HA_CFHT 286.4 284.2 318.6 290.9 93138 304.9 -- -- -- -- -- 35.199999999999996
B9V_HA_CFHT 295.6 292.6 328.8 300.9 99739 315.6 -- -- -- -- -- 46.5
A1V_HE_CFHT 325.0 336.6 360.4 316.3 111484 332.8 -- -- -- -- -- 0.0
