#order	central_wave	range	wave_min	wave_max
148	979.767	13.539	972.237	985.777
147	986.434	13.643	978.848	992.491
146	993.191	13.746	985.548	999.294
145	1000.042	13.850	992.342	1006.191
144	1006.988	13.954	999.229	1013.183
143	1014.031	14.059	1006.214	1020.273
142	1021.173	14.165	1013.297	1027.462
141	1028.416	14.272	1020.482	1034.753
140	1035.763	14.379	1027.769	1042.148
139	1043.215	14.486	1035.162	1049.648
138	1050.776	14.595	1042.662	1057.257
137	1058.446	14.705	1050.272	1064.976
136	1066.230	14.815	1057.994	1072.809
135	1074.128	14.926	1065.831	1080.758
134	1082.144	15.039	1073.786	1088.824
133	1090.281	15.152	1081.860	1097.012
132	1098.541	15.267	1090.057	1105.323
131	1106.927	15.382	1098.379	1113.761
130	1115.442	15.499	1106.830	1122.329
129	1124.089	15.617	1115.412	1131.029
128	1132.871	15.737	1124.128	1139.865
127	1141.792	15.857	1132.982	1148.840
126	1150.854	15.979	1141.977	1157.956
125	1160.060	16.103	1151.116	1167.219
124	1169.416	16.228	1160.403	1176.630
123	1178.923	16.354	1169.840	1186.194
122	1188.586	16.483	1179.433	1195.915
121	1198.409	16.612	1189.184	1205.797
120	1208.395	16.744	1199.099	1215.843
119	1218.549	16.877	1209.180	1226.057
118	1228.876	17.012	1219.432	1236.444
117	1239.378	17.149	1229.860	1247.009
116	1250.062	17.288	1240.468	1257.755
115	1260.932	17.429	1251.260	1268.689
114	1271.992	17.572	1262.241	1279.814
113	1283.248	17.717	1273.418	1291.135
112	1294.705	17.865	1284.794	1302.659
111	1306.368	18.015	1296.375	1314.390
110	1318.243	18.167	1308.167	1326.334
109	1330.336	18.322	1320.175	1338.497
108	1342.654	18.479	1332.406	1350.885
107	1355.201	18.639	1344.866	1363.505
106	1367.985	18.800	1357.561	1376.361
103	1407.826	19.306	1397.126	1416.432
102	1421.627	19.480	1410.832	1430.312
101	1435.701	19.658	1424.809	1444.467
100	1450.057	19.839	1439.066	1458.905
99	1464.703	20.023	1453.611	1473.634
98	1479.648	20.211	1468.453	1488.663
97	1494.900	20.402	1483.601	1504.003
96	1510.471	20.597	1499.065	1519.662
95	1526.369	20.796	1514.854	1535.650
94	1542.606	21.000	1530.979	1551.979
93	1559.192	21.207	1547.452	1568.659
92	1576.138	21.418	1564.282	1585.701
91	1593.457	21.635	1581.483	1603.118
90	1611.160	21.855	1599.066	1620.921
89	1629.261	22.080	1617.044	1639.124
88	1647.773	22.311	1635.430	1657.741
87	1666.712	22.546	1654.239	1676.786
86	1686.091	22.788	1673.487	1696.274
85	1705.925	23.034	1693.187	1716.220
84	1726.232	23.286	1713.356	1736.642
83	1747.028	23.544	1734.010	1757.554
82	1768.331	23.808	1755.169	1778.977
81	1790.160	24.079	1776.850	1800.929
80	1812.535	24.356	1799.073	1823.430
79	1835.477	24.641	1821.859	1846.500
78	1859.007	24.932	1845.230	1870.162
77	1883.147	25.230	1869.208	1894.438
76	1907.924	25.537	1893.817	1919.353
