temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
5000,4.5,0.0,0.0,Y,70k,0.1,3.8,0,3365,11.4,14.4,11.5
5000,4.5,0.0,0.0,Y,70k,0.1,4.3,0,3407,10.5,13.3,10.6
5000,4.5,0.0,0.0,Y,70k,1.0,3.8,0,3293,11.6,14.8,11.8
5000,4.5,0.0,0.0,Y,70k,1.0,4.3,0,3333,10.7,13.6,10.9
5000,4.5,0.0,0.0,Y,70k,5.0,3.8,0,2110,18.1,23.4,18.4
5000,4.5,0.0,0.0,Y,70k,5.0,4.3,0,2122,16.9,21.7,17.1
5000,4.5,0.0,0.0,Y,70k,10.0,3.8,0,1135,33.7,44.2,34.4
5000,4.5,0.0,0.0,Y,70k,10.0,4.3,0,1137,31.4,41.2,32.0
5000,4.5,0.0,0.0,J,70k,0.1,3.8,0,2857,11.5,31.9,12.1
5000,4.5,0.0,0.0,J,70k,0.1,4.3,0,2889,10.6,29.4,11.2
5000,4.5,0.0,0.0,J,70k,1.0,3.8,0,2796,11.7,32.7,12.4
5000,4.5,0.0,0.0,J,70k,1.0,4.3,0,2826,10.8,30.1,11.4
5000,4.5,0.0,0.0,J,70k,5.0,3.8,0,1862,17.5,50.3,18.6
5000,4.5,0.0,0.0,J,70k,5.0,4.3,0,1871,16.3,46.5,17.3
5000,4.5,0.0,0.0,J,70k,10.0,3.8,0,1069,30.4,91.9,32.4
5000,4.5,0.0,0.0,J,70k,10.0,4.3,0,1071,28.3,85.4,30.1
5000,4.5,0.0,0.0,H,70k,0.1,3.8,0,3740,8.1,13.2,8.3
5000,4.5,0.0,0.0,H,70k,0.1,4.3,0,3777,7.5,12.2,7.7
5000,4.5,0.0,0.0,H,70k,1.0,3.8,0,3675,8.2,13.4,8.4
5000,4.5,0.0,0.0,H,70k,1.0,4.3,0,3710,7.6,12.4,7.8
5000,4.5,0.0,0.0,H,70k,5.0,3.8,0,2538,11.9,19.3,12.2
5000,4.5,0.0,0.0,H,70k,5.0,4.3,0,2549,11.1,17.9,11.3
5000,4.5,0.0,0.0,H,70k,10.0,3.8,0,1499,20.2,32.6,20.7
5000,4.5,0.0,0.0,H,70k,10.0,4.3,0,1502,18.8,30.4,19.3
5000,4.5,0.0,0.0,Y,80k,0.1,3.8,0,3750,9.6,12.1,9.7
5000,4.5,0.0,0.0,Y,80k,0.1,4.3,0,3792,8.8,11.2,8.9
5000,4.5,0.0,0.0,Y,80k,1.0,3.8,0,3655,9.8,12.4,9.9
5000,4.5,0.0,0.0,Y,80k,1.0,4.3,0,3694,9.1,11.5,9.2
5000,4.5,0.0,0.0,Y,80k,5.0,3.8,0,2209,16.2,20.8,16.5
5000,4.5,0.0,0.0,Y,80k,5.0,4.3,0,2218,15.1,19.4,15.3
5000,4.5,0.0,0.0,Y,80k,10.0,3.8,0,1155,31.0,40.6,31.6
5000,4.5,0.0,0.0,Y,80k,10.0,4.3,0,1157,28.9,37.8,29.4
5000,4.5,0.0,0.0,J,80k,0.1,3.8,0,3160,9.7,26.8,10.2
5000,4.5,0.0,0.0,J,80k,0.1,4.3,0,3193,9.0,24.8,9.5
