# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:48:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7991 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 75732'           /                                                
# SPTYPE  = 'G8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 11'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803720 / Minimum wavelength (um)                        
# MAXWAVE =              5.39915 / Maximum wavelength (um)                        
# V       =        5.94400000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =       0.860000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        4.76800000000 / 2MASS J magnitude                              
# JERR    =       0.244000000000 / 2MASS J magnitude error                        
# H       =        4.26500000000 / 2MASS H magnitude                              
# HERR    =       0.234000000000 / 2MASS H magnitude error                        
# KS      =        4.01500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0352090000000 / Relative error in the absolute flux calibration
# RV      =        48.8383690000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.740000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803720                1.13648e-10         1.98652e-13
             0.803922                1.14413e-10         2.00705e-13
             0.804125                1.13913e-10         2.00549e-13
             0.804327                1.13524e-10         2.00139e-13
             0.804530                1.10979e-10         1.96952e-13
             0.804732                1.06724e-10         1.91560e-13
             0.804935                1.05047e-10         1.88525e-13
             0.805138                1.07378e-10         1.92471e-13
             0.805340                1.09319e-10         1.93961e-13
             0.805543                1.09420e-10         1.95174e-13
             0.805745                1.10480e-10         1.98514e-13
             0.805948                1.11811e-10         1.99045e-13
             0.806150                1.12856e-10         2.01566e-13
             0.806353                1.12649e-10         2.02005e-13
             0.806555                1.12727e-10         2.01489e-13
             0.806758                1.12300e-10         2.01874e-13
             0.806960                1.10966e-10         1.98698e-13
             0.807163                1.09054e-10         1.96788e-13
             0.807365                1.08038e-10         1.96408e-13
             0.807465                1.07991e-10         1.85279e-13
             0.807698                1.08694e-10         1.75491e-13
             0.807931                1.10398e-10         1.70461e-13
             0.808165                1.09833e-10         1.64539e-13
             0.808398                1.08358e-10         1.63338e-13
             0.808631                1.07336e-10         1.66475e-13
             0.808865                1.08518e-10         1.86999e-13
             0.809098                1.09096e-10         1.80853e-13
             0.809331                1.06430e-10         1.67557e-13
             0.809564                1.04923e-10         1.60056e-13
             0.809797                1.05517e-10         1.57697e-13
             0.810031                1.04191e-10         1.59155e-13
             0.810264                1.05756e-10         1.66797e-13
             0.810497                1.08383e-10         1.80513e-13
             0.810730                1.07832e-10         1.74468e-13
             0.810964                1.08256e-10         1.67327e-13
             0.811197                1.08720e-10         1.63011e-13
             0.811430                1.09558e-10         1.64099e-13
             0.811663                1.08463e-10         1.66942e-13
             0.811896                1.07793e-10         1.73159e-13
             0.812129                1.08726e-10         1.81267e-13
             0.812362                1.09954e-10         1.73378e-13
             0.812596                1.09891e-10         1.66376e-13
             0.812829                1.08628e-10         1.61816e-13
             0.813062                1.08445e-10         1.63059e-13
             0.813295                1.08605e-10         1.69012e-13
             0.813528                1.09407e-10         1.78007e-13
             0.813761                1.09465e-10         1.75992e-13
             0.813994                1.09193e-10         1.68066e-13
             0.814228                1.08767e-10         1.63164e-13
             0.814461                1.08342e-10         1.61493e-13
             0.814694                1.08583e-10         1.64285e-13
             0.814927                1.08648e-10         1.71614e-13
             0.815160                1.07930e-10         1.78366e-13
             0.815393                1.08421e-10         1.70968e-13
             0.815626                1.08875e-10         1.65016e-13
             0.815859                1.08952e-10         1.60883e-13
             0.816092                1.09448e-10         1.63611e-13
             0.816325                1.07622e-10         1.66000e-13
             0.816558                1.07511e-10         1.72391e-13
             0.816791                1.08282e-10         1.74797e-13
             0.817024                1.08375e-10         1.67434e-13
             0.817257                1.08392e-10         1.61617e-13
             0.817490                1.07875e-10         1.59928e-13
             0.817723                1.08251e-10         1.62596e-13
             0.817956                1.07813e-10         1.67604e-13
             0.818189                1.06076e-10         1.72135e-13
             0.818422                1.01211e-10         1.59556e-13
             0.818655                1.00095e-10         1.53318e-13
             0.818888                1.04005e-10         1.55419e-13
             0.819121                1.06668e-10         1.57251e-13
             0.819354                1.06426e-10         1.62238e-13
             0.819587                9.87418e-11         1.56710e-13
             0.819820                9.70041e-11         1.59029e-13
             0.820053                1.01868e-10         1.58268e-13
             0.820286                1.04993e-10         1.56330e-13
             0.820519                1.06571e-10         1.55819e-13
             0.820752                1.06726e-10         1.59255e-13
             0.820984                1.05073e-10         1.59964e-13
             0.821217                1.04650e-10         1.65385e-13
             0.821450                1.02346e-10         1.62418e-13
             0.821683                1.02567e-10         1.56530e-13
             0.821916                1.05081e-10         1.55181e-13
             0.822149                1.02083e-10         1.50297e-13
             0.822382                1.01701e-10         1.51732e-13
             0.822615                1.07069e-10         1.65212e-13
             0.822847                1.08894e-10         1.76975e-13
             0.823080                1.07930e-10         1.67713e-13
             0.823313                1.06329e-10         1.59821e-13
             0.823546                1.06330e-10         1.55974e-13
             0.823779                1.06895e-10         1.56530e-13
             0.824012                1.06731e-10         1.61442e-13
             0.824244                1.08291e-10         1.76440e-13
             0.824477                1.08155e-10         1.70022e-13
             0.824710                1.07745e-10         1.64439e-13
             0.824943                1.06377e-10         1.55698e-13
             0.825176                1.06092e-10         1.54298e-13
             0.825408                1.06969e-10         1.56838e-13
             0.825641                1.07044e-10         1.61046e-13
             0.825874                1.06529e-10         1.66485e-13
             0.826107                1.07730e-10         1.65326e-13
             0.826340                1.09011e-10         1.60836e-13
             0.826572                1.07768e-10         1.57203e-13
             0.826805                1.06768e-10         1.54294e-13
             0.827038                1.07149e-10         1.58333e-13
             0.827271                1.07609e-10         1.62891e-13
             0.827503                1.06457e-10         1.66086e-13
             0.827736                1.05170e-10         1.58743e-13
             0.827969                1.06551e-10         1.56131e-13
             0.828201                1.08024e-10         1.56171e-13
             0.828434                1.07752e-10         1.57212e-13
             0.828667                1.06702e-10         1.57802e-13
             0.828899                1.05794e-10         1.62012e-13
             0.829132                1.05488e-10         1.61518e-13
             0.829365                1.05802e-10         1.57985e-13
             0.829597                1.05104e-10         1.53022e-13
             0.829830                1.04772e-10         1.51310e-13
             0.830063                1.04982e-10         1.52861e-13
             0.830295                1.05935e-10         1.57415e-13
             0.830528                1.04934e-10         1.61430e-13
             0.830761                1.02890e-10         1.54938e-13
             0.830993                1.02062e-10         1.49375e-13
             0.831226                1.01319e-10         1.45958e-13
             0.831459                1.02806e-10         1.48045e-13
             0.831691                1.05231e-10         1.53330e-13
             0.831924                1.06374e-10         1.60297e-13
             0.832156                1.05638e-10         1.63107e-13
             0.832389                1.04455e-10         1.57663e-13
             0.832622                1.03090e-10         1.51164e-13
             0.832854                9.99613e-11         1.43843e-13
             0.833087                9.96522e-11         1.43921e-13
             0.833319                9.91319e-11         1.46342e-13
             0.833552                9.83829e-11         1.48877e-13
             0.833784                9.96796e-11         1.50253e-13
             0.834017                9.99714e-11         1.46590e-13
             0.834250                1.01558e-10         1.47045e-13
             0.834482                1.02729e-10         1.46361e-13
             0.834715                9.97659e-11         1.46229e-13
             0.834947                9.85961e-11         1.45885e-13
             0.835180                1.02252e-10         1.53888e-13
             0.835412                1.05212e-10         1.55084e-13
             0.835645                1.05239e-10         1.58134e-13
             0.835877                1.04544e-10         1.51597e-13
             0.836110                1.04403e-10         1.48246e-13
             0.836342                1.04105e-10         1.50371e-13
             0.836575                1.02749e-10         1.52257e-13
             0.836807                1.02708e-10         1.53129e-13
             0.837040                1.04908e-10         1.52660e-13
             0.837272                1.04349e-10         1.51691e-13
             0.837505                1.04294e-10         1.48130e-13
             0.837737                1.05072e-10         1.49865e-13
             0.837969                1.04277e-10         1.50796e-13
             0.838202                1.04238e-10         1.53581e-13
             0.838434                1.02321e-10         1.54043e-13
             0.838667                1.00865e-10         1.48680e-13
             0.838899                9.82815e-11         1.40216e-13
             0.839132                9.83263e-11         1.41522e-13
             0.839364                1.03323e-10         1.47951e-13
             0.839596                1.05442e-10         1.53839e-13
             0.839829                1.04368e-10         1.55074e-13
             0.840061                1.04031e-10         1.61847e-13
             0.840294                1.03917e-10         1.47672e-13
             0.840526                1.03923e-10         1.46196e-13
             0.840758                1.04555e-10         1.50548e-13
             0.840991                1.05011e-10         1.50013e-13
             0.841223                1.04585e-10         1.53459e-13
             0.841456                1.02849e-10         1.51390e-13
             0.841688                1.03401e-10         1.49985e-13
             0.841920                1.03461e-10         1.46449e-13
             0.842153                1.02556e-10         1.44023e-13
             0.842385                1.01806e-10         1.43523e-13
             0.842617                1.00640e-10         1.44396e-13
             0.842850                9.99672e-11         1.45934e-13
             0.843082                1.03329e-10         1.50360e-13
             0.843314                1.04882e-10         1.48859e-13
             0.843547                1.02181e-10         1.45405e-13
             0.843779                9.95175e-11         1.41091e-13
             0.844011                9.95530e-11         1.42539e-13
             0.844243                1.00253e-10         1.44816e-13
             0.844476                1.02408e-10         1.51596e-13
             0.844708                1.03472e-10         1.51269e-13
             0.844940                1.03269e-10         1.48421e-13
             0.845173                1.02692e-10         1.43419e-13
             0.845405                1.03322e-10         1.43677e-13
             0.845637                1.03893e-10         1.45886e-13
             0.845869                1.03258e-10         1.54653e-13
             0.846102                1.03225e-10         1.49192e-13
             0.846334                1.04292e-10         1.48338e-13
             0.846566                1.03542e-10         1.45679e-13
             0.846798                1.00654e-10         1.43054e-13
             0.847031                9.81497e-11         1.39633e-13
             0.847263                9.90587e-11         1.42277e-13
             0.847495                1.01476e-10         1.46054e-13
             0.847727                1.03116e-10         1.46862e-13
             0.847959                1.03396e-10         1.45019e-13
             0.848191                1.02008e-10         1.40846e-13
             0.848424                1.00743e-10         1.38822e-13
             0.848656                1.01712e-10         1.41103e-13
             0.848888                1.02189e-10         1.43171e-13
             0.849120                1.02034e-10         1.46208e-13
             0.849352                1.01346e-10         1.42708e-13
             0.849585                9.81974e-11         1.38481e-13
             0.849817                8.72371e-11         1.24913e-13
             0.850049                7.91393e-11         1.16738e-13
             0.850281                8.51081e-11         1.24755e-13
             0.850513                9.35420e-11         1.37736e-13
             0.850745                9.87089e-11         1.43368e-13
             0.850977                1.01443e-10         1.44512e-13
