temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
5000,4.5,0.0,0.0,Y_CFHT,70k,0.1,3.8,0,3953,7.3,14.0,7.9
5000,4.5,0.0,0.0,Y_CFHT,70k,0.1,4.3,0,4005,6.7,13.0,7.3
5000,4.5,0.0,0.0,Y_CFHT,70k,1.0,3.8,0,3851,7.5,14.4,8.1
5000,4.5,0.0,0.0,Y_CFHT,70k,1.0,4.3,0,3901,6.9,13.3,7.5
5000,4.5,0.0,0.0,Y_CFHT,70k,5.0,3.8,0,2374,12.1,22.7,13.1
5000,4.5,0.0,0.0,Y_CFHT,70k,5.0,4.3,0,2388,11.2,21.1,12.1
5000,4.5,0.0,0.0,Y_CFHT,70k,10.0,3.8,0,1234,23.3,43.1,25.1
5000,4.5,0.0,0.0,Y_CFHT,70k,10.0,4.3,0,1237,21.7,40.1,23.4
5000,4.5,0.0,0.0,J_CFHT,70k,0.1,3.8,0,2982,9.9,31.9,10.6
5000,4.5,0.0,0.0,J_CFHT,70k,0.1,4.3,0,3016,9.1,29.4,9.8
5000,4.5,0.0,0.0,J_CFHT,70k,1.0,3.8,0,2919,10.1,32.6,10.9
5000,4.5,0.0,0.0,J_CFHT,70k,1.0,4.3,0,2951,9.3,30.1,10.0
5000,4.5,0.0,0.0,J_CFHT,70k,5.0,3.8,0,1935,15.2,50.4,16.4
5000,4.5,0.0,0.0,J_CFHT,70k,5.0,4.3,0,1944,14.1,46.8,15.2
5000,4.5,0.0,0.0,J_CFHT,70k,10.0,3.8,0,1095,26.8,92.8,29.0
5000,4.5,0.0,0.0,J_CFHT,70k,10.0,4.3,0,1097,25.0,86.6,27.0
5000,4.5,0.0,0.0,H_CFHT,70k,0.1,3.8,0,3631,7.1,13.0,7.6
5000,4.5,0.0,0.0,H_CFHT,70k,0.1,4.3,0,3670,6.5,12.0,7.0
5000,4.5,0.0,0.0,H_CFHT,70k,1.0,3.8,0,3563,7.2,13.2,7.7
5000,4.5,0.0,0.0,H_CFHT,70k,1.0,4.3,0,3599,6.7,12.2,7.1
5000,4.5,0.0,0.0,H_CFHT,70k,5.0,3.8,0,2438,10.5,19.0,11.2
5000,4.5,0.0,0.0,H_CFHT,70k,5.0,4.3,0,2449,9.8,17.7,10.4
5000,4.5,0.0,0.0,H_CFHT,70k,10.0,3.8,0,1431,18.0,32.3,19.2
5000,4.5,0.0,0.0,H_CFHT,70k,10.0,4.3,0,1434,16.8,30.1,17.8
5000,4.5,0.0,0.0,Y_CFHT,80k,0.1,3.8,0,4443,6.1,11.8,6.6
5000,4.5,0.0,0.0,Y_CFHT,80k,0.1,4.3,0,4496,5.6,10.8,6.1
5000,4.5,0.0,0.0,Y_CFHT,80k,1.0,3.8,0,4308,6.3,12.1,6.8
5000,4.5,0.0,0.0,Y_CFHT,80k,1.0,4.3,0,4358,5.8,11.1,6.2
5000,4.5,0.0,0.0,Y_CFHT,80k,5.0,3.8,0,2493,10.8,20.3,11.6
5000,4.5,0.0,0.0,Y_CFHT,80k,5.0,4.3,0,2504,10.0,18.9,10.8
5000,4.5,0.0,0.0,Y_CFHT,80k,10.0,3.8,0,1258,21.4,39.6,23.0
5000,4.5,0.0,0.0,Y_CFHT,80k,10.0,4.3,0,1260,19.9,36.9,21.4
5000,4.5,0.0,0.0,J_CFHT,80k,0.1,3.8,0,3299,8.3,26.8,9.0
5000,4.5,0.0,0.0,J_CFHT,80k,0.1,4.3,0,3333,7.7,24.8,8.3
5000,4.5,0.0,0.0,J_CFHT,80k,1.0,3.8,0,3216,8.6,27.6,9.2
5000,4.5,0.0,0.0,J_CFHT,80k,1.0,4.3,0,3248,7.9,25.5,8.5
5000,4.5,0.0,0.0,J_CFHT,80k,5.0,3.8,0,2018,13.6,45.1,14.7
5000,4.5,0.0,0.0,J_CFHT,80k,5.0,4.3,0,2026,12.7,41.9,13.7
5000,4.5,0.0,0.0,J_CFHT,80k,10.0,3.8,0,1113,24.7,85.2,26.7
5000,4.5,0.0,0.0,J_CFHT,80k,10.0,4.3,0,1115,23.0,79.5,24.9
5000,4.5,0.0,0.0,H_CFHT,80k,0.1,3.8,0,3981,6.0,11.1,6.5
5000,4.5,0.0,0.0,H_CFHT,80k,0.1,4.3,0,4018,5.6,10.3,6.0
5000,4.5,0.0,0.0,H_CFHT,80k,1.0,3.8,0,3893,6.2,11.4,6.6
5000,4.5,0.0,0.0,H_CFHT,80k,1.0,4.3,0,3928,5.7,10.6,6.1
5000,4.5,0.0,0.0,H_CFHT,80k,5.0,3.8,0,2536,9.5,17.1,10.1
5000,4.5,0.0,0.0,H_CFHT,80k,5.0,4.3,0,2545,8.8,16.0,9.4
5000,4.5,0.0,0.0,H_CFHT,80k,10.0,3.8,0,1454,16.6,29.7,17.6
5000,4.5,0.0,0.0,H_CFHT,80k,10.0,4.3,0,1456,15.4,27.7,16.5
4500,4.5,0.0,0.0,Y_CFHT,70k,0.1,3.8,0,4231,6.8,11.5,7.2
4500,4.5,0.0,0.0,Y_CFHT,70k,0.1,4.3,0,4291,6.3,10.6,6.6
4500,4.5,0.0,0.0,Y_CFHT,70k,1.0,3.8,0,4115,7.0,11.8,7.4
4500,4.5,0.0,0.0,Y_CFHT,70k,1.0,4.3,0,4171,6.4,10.9,6.8
4500,4.5,0.0,0.0,Y_CFHT,70k,5.0,3.8,0,2486,11.5,19.7,12.2
4500,4.5,0.0,0.0,Y_CFHT,70k,5.0,4.3,0,2500,10.7,18.3,11.4
4500,4.5,0.0,0.0,Y_CFHT,70k,10.0,3.8,0,1282,22.3,38.9,23.7
4500,4.5,0.0,0.0,Y_CFHT,70k,10.0,4.3,0,1285,20.7,36.2,22.0
4500,4.5,0.0,0.0,J_CFHT,70k,0.1,3.8,0,2887,10.2,31.4,11.0
4500,4.5,0.0,0.0,J_CFHT,70k,0.1,4.3,0,2921,9.4,28.9,10.1
4500,4.5,0.0,0.0,J_CFHT,70k,1.0,3.8,0,2822,10.4,32.3,11.2
4500,4.5,0.0,0.0,J_CFHT,70k,1.0,4.3,0,2854,9.6,29.7,10.4
4500,4.5,0.0,0.0,J_CFHT,70k,5.0,3.8,0,1866,15.8,51.6,17.0
4500,4.5,0.0,0.0,J_CFHT,70k,5.0,4.3,0,1875,14.7,47.9,15.8
4500,4.5,0.0,0.0,J_CFHT,70k,10.0,3.8,0,1080,27.2,98.9,29.5
4500,4.5,0.0,0.0,J_CFHT,70k,10.0,4.3,0,1082,25.4,92.1,27.5
4500,4.5,0.0,0.0,H_CFHT,70k,0.1,3.8,0,4024,6.1,10.8,6.5
4500,4.5,0.0,0.0,H_CFHT,70k,0.1,4.3,0,4069,5.6,10.0,6.0
4500,4.5,0.0,0.0,H_CFHT,70k,1.0,3.8,0,3945,6.2,11.0,6.6
