File,Teff,SpectralType,vsini,Jmag,Q_FullSpec,Q_Y,Q_J,Q_H,Q_K
Template_s1d_AUMIC_sc1d_v_file_AB.fits,3700.0,M1 Ve,8.70,5.44,1597.9,1323.5,986.9,1724.8,1583.1
Template_s1d_EPSILONERI_sc1d_v_file_AB.fits,5136.0,K2,2.40,2.30,2525.8,2565.1,2141.1,2442.5,2117.8
Template_s1d_GJ1002_sc1d_v_file_AB.fits,2898.0,M5,2.00,8.30,7226.5,6412.0,5097.0,7160.5,7407.3
Template_s1d_GJ1214_sc1d_v_file_AB.fits,3026.0,M4.5,2.00,9.70,6887.9,9005.2,4252.0,5868.9,6438.0
Template_s1d_GJ1286_sc1d_v_file_AB.fits,2887.0,M6,5.60,9.10,6287.4,6292.2,4823.5,6699.7,7239.9
Template_s1d_GJ1289_sc1d_v_file_AB.fits,3203.0,M5,2.50,8.10,5017.1,4190.8,3368.0,5579.4,6167.3
Template_s1d_GJ9827_sc1d_v_file_AB.fits,4340.0,K6V,1.30,7.90,5460.4,8252.3,2705.6,3009.2,3656.8
Template_s1d_GL15A_sc1d_v_file_AB.fits,3756.0,M1,2.90,5.20,3632.0,2811.8,2054.3,3885.4,3914.9
Template_s1d_GL382_sc1d_v_file_AB.fits,3596.0,M2,1.30,5.90,3612.9,3255.5,2160.7,3844.7,3474.6
Template_s1d_GL388_sc1d_v_file_AB.fits,3268.0,M3,5.80,5.40,4110.0,2466.0,1932.9,4379.9,4661.4
Template_s1d_GL411_sc1d_v_file_AB.fits,3633.0,M2,2.00,4.20,4260.1,2611.3,2328.4,4724.4,4803.7
Template_s1d_GL412A_sc1d_v_file_AB.fits,3683.0,M1,3.00,5.50,3598.4,2628.3,1963.1,3888.6,3922.4
Template_s1d_GL436_sc1d_v_file_AB.fits,3435.0,M3,1.00,6.90,4279.0,3417.8,2464.9,4470.2,4526.0
Template_s1d_GL514_sc1d_v_file_AB.fits,3616.0,M1,1.30,5.90,3518.8,2996.7,2112.7,3827.4,3348.0
Template_s1d_GL536_sc1d_v_file_AB.fits,3685.0,M1V,4.70,6.50,3679.8,3102.0,2070.8,4092.3,3660.5
Template_s1d_GL687_sc1d_v_file_AB.fits,3343.0,M3,2.00,5.30,4737.1,3169.0,2657.9,5237.2,5259.6
Template_s1d_GL699_sc1d_v_file_AB.fits,3134.0,M4,0.08,5.20,5579.2,3571.3,3615.6,5774.9,6031.2
Template_s1d_GL725A_sc1d_v_file_AB.fits,3460.0,M3,2.00,5.20,4845.6,2879.3,2772.7,5390.7,5557.2
Template_s1d_GL725B_sc1d_v_file_AB.fits,3353.0,M4,4.40,5.70,5192.4,3157.3,3095.4,5680.4,5903.1
Template_s1d_GL846_sc1d_v_file_AB.fits,3798.0,M0.5,10.00,6.20,3167.9,2892.0,1999.5,3431.4,2959.0
Template_s1d_GL876_sc1d_v_file_AB.fits,3129.0,M4,5.00,5.90,4885.4,3954.5,2922.7,4937.9,5276.9
Template_s1d_HD189733_sc1d_v_file_AB.fits,5050.0,K2,3.50,6.10,2522.8,2518.6,2078.2,2405.2,1973.8
Template_s1d_K2-33_sc1d_v_file_AB.fits,3540.0,M3,8.20,11.10,4121.9,6908.2,4057.6,3175.2,4602.0
