File,Teff,SpectralType,vsini,Jmag,Q_FullSpec,Q_Y,Q_J,Q_H,Q_K
Template_s1d_AUMIC_sc1d_v_file_AB.fits,3700.0,M1 Ve,8.70,5.44,1597.9,1130.3,929.6,1692.9,1528.4
Template_s1d_EPSILONERI_sc1d_v_file_AB.fits,5136.0,K2,2.40,2.30,2525.8,2345.3,2018.6,2538.2,2255.2
Template_s1d_GJ1002_sc1d_v_file_AB.fits,2898.0,M5,2.00,8.30,7226.5,6235.5,3426.9,5365.1,5680.9
Template_s1d_GJ1214_sc1d_v_file_AB.fits,3026.0,M4.5,2.00,9.70,6887.9,6206.4,3561.7,4674.2,5406.9
Template_s1d_GJ1286_sc1d_v_file_AB.fits,2887.0,M6,5.60,9.10,6287.4,6132.0,3350.5,5073.0,5716.9
Template_s1d_GJ1289_sc1d_v_file_AB.fits,3203.0,M5,2.50,8.10,5017.1,3941.0,2246.0,4377.1,4897.7
Template_s1d_GJ9827_sc1d_v_file_AB.fits,4340.0,K6V,1.30,7.90,5460.4,4189.6,2638.2,3077.5,4044.0
Template_s1d_GL15A_sc1d_v_file_AB.fits,3756.0,M1,2.90,5.20,3632.0,2421.2,1752.4,3520.0,3223.4
Template_s1d_GL382_sc1d_v_file_AB.fits,3596.0,M2,1.30,5.90,3612.9,2857.3,2097.1,3818.5,3381.9
Template_s1d_GL388_sc1d_v_file_AB.fits,3268.0,M3,5.80,5.40,4110.0,2213.7,1316.2,3752.0,3805.3
Template_s1d_GL411_sc1d_v_file_AB.fits,3633.0,M2,2.00,4.20,4260.1,2240.1,1720.5,4091.3,3747.1
Template_s1d_GL412A_sc1d_v_file_AB.fits,3683.0,M1,3.00,5.50,3598.4,2230.4,1609.2,3487.7,3181.1
Template_s1d_GL436_sc1d_v_file_AB.fits,3435.0,M3,1.00,6.90,4279.0,3064.1,2141.7,4051.8,3807.4
Template_s1d_GL514_sc1d_v_file_AB.fits,3616.0,M1,1.30,5.90,3518.8,2719.1,2029.9,3785.3,3198.5
Template_s1d_GL536_sc1d_v_file_AB.fits,3685.0,M1V,4.70,6.50,3679.8,2728.3,1948.7,3989.4,3393.5
Template_s1d_GL687_sc1d_v_file_AB.fits,3343.0,M3,2.00,5.30,4737.1,2821.2,2037.9,4524.3,4366.0
Template_s1d_GL699_sc1d_v_file_AB.fits,3134.0,M4,0.08,5.20,5579.2,3255.1,2048.3,4372.4,4528.5
Template_s1d_GL725A_sc1d_v_file_AB.fits,3460.0,M3,2.00,5.20,4845.6,2522.2,1843.1,4414.1,4377.4
Template_s1d_GL725B_sc1d_v_file_AB.fits,3353.0,M4,4.40,5.70,5192.4,2798.3,1955.1,4529.6,4646.8
Template_s1d_GL846_sc1d_v_file_AB.fits,3798.0,M0.5,10.00,6.20,3167.9,2551.2,1999.3,3546.1,3217.5
Template_s1d_GL876_sc1d_v_file_AB.fits,3129.0,M4,5.00,5.90,4885.4,3646.2,2389.8,4221.0,4369.7
Template_s1d_HD189733_sc1d_v_file_AB.fits,5050.0,K2,3.50,6.10,2522.8,2251.4,1980.8,2495.8,2126.4
Template_s1d_K2-33_sc1d_v_file_AB.fits,3540.0,M3,8.20,11.10,4121.9,4806.8,4008.7,2749.4,5187.9
