#order	central_wave	range	wave_min	wave_max
149	977.892	12.482	970.898	983.379
148	984.500	12.575	977.454	990.029
147	991.199	12.668	984.100	996.768
146	997.989	12.762	990.838	1003.600
145	1004.873	12.857	997.668	1010.525
144	1011.852	12.952	1004.594	1017.546
143	1018.929	13.048	1011.617	1024.665
142	1026.105	13.145	1018.740	1031.884
141	1033.383	13.242	1025.964	1039.205
140	1040.765	13.340	1033.291	1046.630
139	1048.253	13.438	1040.724	1054.162
138	1055.849	13.537	1048.265	1061.803
137	1063.557	13.638	1055.917	1069.555
136	1071.377	13.738	1063.682	1077.420
135	1079.314	13.840	1071.561	1085.402
134	1087.369	13.943	1079.559	1093.503
133	1095.545	14.047	1087.677	1101.725
132	1103.845	14.152	1095.919	1110.071
131	1112.271	14.258	1104.287	1118.545
130	1120.827	14.365	1112.784	1127.148
129	1129.516	14.473	1121.412	1135.885
128	1138.340	14.582	1130.176	1144.758
127	1147.303	14.693	1139.078	1153.771
126	1156.409	14.805	1148.122	1162.926
125	1165.660	14.918	1157.310	1172.228
124	1175.060	15.033	1166.647	1181.680
123	1184.613	15.148	1176.136	1191.284
122	1194.323	15.266	1185.781	1201.047
121	1204.193	15.385	1195.585	1210.970
120	1214.227	15.506	1205.553	1221.059
119	1224.430	15.628	1215.689	1231.317
118	1234.806	15.752	1225.996	1241.748
117	1245.360	15.878	1236.480	1252.358
116	1256.095	16.006	1247.145	1263.151
115	1267.017	16.135	1257.996	1274.131
114	1278.130	16.266	1269.037	1285.303
113	1289.441	16.400	1280.273	1296.673
112	1300.953	16.536	1291.711	1308.246
111	1312.672	16.673	1303.354	1320.027
110	1324.605	16.813	1315.210	1332.023
109	1336.756	16.955	1327.283	1344.238
108	1349.133	17.100	1339.580	1356.679
107	1361.741	17.247	1352.107	1369.354
106	1374.586	17.677	1364.870	1382.548
104	1401.019	17.702	1391.135	1408.836
103	1414.620	17.860	1404.648	1422.508
102	1428.487	18.021	1418.427	1436.448
101	1442.629	18.184	1432.479	1450.664
100	1457.055	18.351	1446.813	1465.164
99	1471.771	18.520	1461.436	1479.956
98	1486.788	18.693	1476.358	1495.051
97	1502.114	18.869	1491.587	1510.456
96	1517.760	19.049	1507.134	1526.183
95	1533.735	19.232	1523.008	1542.240
94	1550.050	19.419	1539.220	1558.639
93	1566.716	19.610	1555.781	1575.391
92	1583.744	19.805	1572.702	1592.507
91	1601.146	20.004	1589.995	1609.998
90	1618.935	20.207	1607.672	1627.879
89	1637.124	20.415	1625.746	1646.161
88	1655.726	20.627	1644.231	1664.858
87	1674.755	20.844	1663.141	1683.985
86	1694.228	21.066	1682.492	1703.557
85	1714.157	21.292	1702.297	1723.589
84	1734.562	21.525	1722.573	1744.098
83	1755.459	21.763	1743.339	1765.102
82	1776.865	22.006	1764.612	1786.618
81	1798.799	22.256	1786.409	1808.664
80	1821.283	22.511	1808.751	1831.262
79	1844.335	22.773	1831.659	1854.433
