wavelength	blaze	order
970.8977841917	0.0000000000	149
970.9128174961	0.0000000000	149
970.9278480772	0.0000000000	149
970.9428759247	0.0000000000	149
970.9579010283	0.0000000000	149
970.9729233778	0.0000000000	149
970.9879429629	0.0000000000	149
971.0029597733	0.0000000000	149
971.0179737989	0.0000000000	149
971.0329850295	0.0000000000	149
971.0479934549	0.0000000000	149
971.0629990649	0.0000000000	149
971.0780018417	0.0000000000	149
971.0930017756	0.0000000000	149
971.1079988637	0.0000000000	149
971.1229930958	0.0000000000	149
971.1379844618	0.0000000000	149
971.1529729517	0.0000000000	149
971.1679585555	0.0000000000	149
971.1829412630	0.0000000000	149
971.1979210643	0.0000000000	149
971.2128979494	0.0000000000	149
971.2278719083	0.0000000000	149
971.2428429305	0.0000000000	149
971.2578109917	0.0000000000	149
971.2727760967	0.0000000000	149
971.2877382356	0.0000000000	149
971.3026973985	0.0000000000	149
971.3176535755	0.0000000000	149
971.3326067567	0.0000000000	149
971.3475569324	0.0000000000	149
971.3625040925	0.0000000000	149
971.3774482274	0.0000000000	149
971.3923893272	0.0000000000	149
971.4073273822	0.0000000000	149
971.4222623736	0.0000000000	149
971.4371942933	0.0000000000	149
971.4521231388	0.0000000000	149
971.4670489003	0.0686318249	149
971.4819715681	0.0698467443	149
971.4968911324	0.0712701039	149
971.5118075837	0.0726920063	149
971.5267209121	0.0738241064	149
971.5416311082	0.0748994727	149
971.5565381622	0.0752240329	149
971.5714420645	0.0762598831	149
971.5863428043	0.0771886880	149
971.6012403579	0.0782551735	149
971.6161347309	0.0793848745	149
971.6310259138	0.0805822843	149
971.6459138970	0.0816940550	149
971.6607986711	0.0828704972	149
971.6756802264	0.0839869854	149
971.6905585536	0.0851043176	149
971.7054336431	0.0863714593	149
971.7203054855	0.0876477822	149
971.7351740713	0.0890283487	149
971.7500393910	0.0902693881	149
971.7649014253	0.0916099088	149
971.7797601676	0.0929250014	149
971.7946156155	0.0941950065	149
971.8094677597	0.0955049720	149
971.8243165908	0.0968746301	149
971.8391620995	0.0981975002	149
971.8540042765	0.0994972368	149
971.8688431124	0.1007980472	149
971.8836785980	0.1021034474	149
971.8985107239	0.1034449745	149
971.9133394809	0.1047768376	149
971.9281648579	0.1060477599	149
971.9429868316	0.1074080417	149
971.9578054086	0.1087736440	149
971.9726205797	0.1101480344	149
971.9874323356	0.1115594352	149
972.0022406673	0.1130163877	149
972.0170455654	0.1142596810	149
972.0318470210	0.1157589993	149
972.0466450248	0.1172107622	149
972.0614395678	0.1187176402	149
972.0762306408	0.1202087793	149
972.0910182347	0.1217289651	149
972.1058023292	0.1232770089	149
972.1205829194	0.1247341625	149
972.1353600034	0.1262348621	149
972.1501335720	0.1277668008	149
972.1649036162	0.1292836853	149
972.1796701270	0.1307779662	149
972.1944330954	0.1323191713	149
972.2091925126	0.1339382306	149
972.2239483694	0.1355279794	149
972.2387006570	0.1370770029	149
972.2534493664	0.1386814122	149
972.2681944862	0.1403411131	149
972.2829359938	0.1419803871	149
972.2976738964	0.1436034463	149
972.3124081852	0.1451746737	149
972.3271388513	0.1468010953	149
972.3418658859	0.1484262982	149
972.3565892802	0.1500509195	149
972.3713090253	0.1516783411	149
972.3860251125	0.1533472892	149
972.4007375329	0.1550512589	149
972.4154462778	0.1567725150	149
972.4301513385	0.1584858632	149
972.4448526935	0.1601898228	149
972.4595503401	0.1619293452	149
972.4742442762	0.1637100996	149
972.4889344930	0.1654947858	149
972.5036209819	0.1672886904	149
972.5183037343	0.1690412444	149
972.5329827414	0.1708257166	149
972.5476579947	0.1726003091	149
972.5623294855	0.1743710653	149
972.5769972052	0.1761503502	149
972.5916611452	0.1779950799	149
972.6063212934	0.1798112859	149
972.6209776284	0.1816687683	149
972.6356301579	0.1834510730	149
972.6502788734	0.1853800230	149
972.6649237662	0.1872525405	149
972.6795648280	0.1891474396	149
972.6942020503	0.1909833661	149
972.7088354244	0.1928097000	149
972.7234649420	0.1947039348	149
972.7380905947	0.1965693594	149
972.7527123739	0.1984670655	149
972.7673302712	0.2003902281	149
972.7819442642	0.2022974908	149
972.7965543521	0.2042639374	149
972.8111605329	0.2062343853	149
972.8257627982	0.2082036484	149
972.8403611395	0.2102053838	149
972.8549555486	0.2122022072	149
972.8695460172	0.2142417791	149
972.8841325368	0.2162405203	149
972.8987150993	0.2182860914	149
972.9132936962	0.2203152636	149
972.9278683194	0.2223241253	149
972.9424389562	0.2243097831	149
972.9570055862	0.2263806830	149
972.9715682176	0.2283547694	149
972.9861268421	0.2303882916	149
973.0006814516	0.2324421622	149
973.0152320378	0.2345410616	149
973.0297785927	0.2366292714	149
973.0443211079	0.2387047999	149
973.0588595754	0.2408458711	149
973.0733939869	0.2429939366	149
973.0879243345	0.2451050480	149
973.1024506099	0.2472903786	149
973.1169727896	0.2495585551	149
973.1314908750	0.2517229676	149
973.1460048640	0.2539964717	149
973.1605147484	0.2562699697	149
973.1750205202	0.2585509212	149
973.1895221713	0.2608497963	149
973.2040196938	0.2628019079	149
973.2185130796	0.2651010925	149
973.2330023207	0.2674323383	149
973.2474874092	0.2697567878	149
973.2619683371	0.2721173358	149
973.2764450911	0.2744519530	149
973.2909176520	0.2767439468	149
973.3053860284	0.2790345176	149
973.3198502124	0.2813558788	149
973.3343101960	0.2835906956	149
973.3487659713	0.2859359394	149
973.3632175305	0.2882511535	149
973.3776648658	0.2906178711	149
973.3921079692	0.2930893716	149
973.4065468329	0.2955354562	149
973.4209814491	0.2979198388	149
973.4354118100	0.3002871821	149
973.4498378909	0.3028450278	149
973.4642596954	0.3053449443	149
973.4786772212	0.3077980019	149
973.4930904605	0.3102802193	149
973.5074994055	0.3127150944	149
973.5219040485	0.3151203115	149
973.5363043817	0.3176023224	149
973.5507003976	0.3199837224	149
973.5650920883	0.3224212632	149
973.5794794462	0.3248805290	149
973.5938624636	0.3274048226	149
973.6082411266	0.3298487312	149
973.6226154173	0.3320442107	149
973.6369853446	0.3346599971	149
973.6513509007	0.3371997576	149
973.6657120780	0.3397562114	149
