wavelength	blaze	order
972.2374075018	0.0000000000	148
972.2534948197	0.0000000000	148
972.2695794360	0.0000000000	148
972.2856613415	0.0000000000	148
972.3017405272	0.0000000000	148
972.3178169841	0.0000000000	148
972.3338907033	0.0000000000	148
972.3499616756	0.0000000000	148
972.3660298921	0.0000000000	148
972.3820953438	0.0000000000	148
972.3981580217	0.0000000000	148
972.4142179167	0.0000000000	148
972.4302750124	0.0000000000	148
972.4463293001	0.0000000000	148
972.4623807780	0.0000000000	148
972.4784294370	0.0000000000	148
972.4944752681	0.0000000000	148
972.5105182625	0.0000000000	148
972.5265584112	0.0000000000	148
972.5425957051	0.0000000000	148
972.5586301354	0.0000000000	148
972.5746616931	0.0000000000	148
972.5906903693	0.0000000000	148
972.6067161544	0.0000000000	148
972.6227390255	0.0000000000	148
972.6387589882	0.0000000000	148
972.6547760335	0.0000000000	148
972.6707901526	0.0000000000	148
972.6868013365	0.0000000000	148
972.7028095763	0.0000000000	148
972.7188148632	0.0000000000	148
972.7348171882	0.0000000000	148
972.7508165425	0.0000000000	148
972.7668129171	0.0000000000	148
972.7828063033	0.0000000000	148
972.7987966834	0.0000000000	148
972.8147840501	0.0000000000	148
972.8307684017	0.0000000000	148
972.8467497292	0.0000000000	148
972.8627280239	0.0000000000	148
972.8787032768	0.0000000000	148
972.8946754791	0.0000000000	148
972.9106446220	0.0000000000	148
972.9266106967	0.0000000000	148
972.9425736943	0.0000000000	148
972.9585336060	0.0000000000	148
972.9744904220	0.0000000000	148
972.9904441193	0.0000000000	148
973.0063947043	0.0000000000	148
973.0223421681	0.0000000000	148
973.0382865020	0.0000000000	148
973.0542276972	0.0000000000	148
973.0701657448	0.0000000000	148
973.0861006362	0.0000000000	148
973.1020323625	0.0000000000	148
973.1179609151	0.0000000000	148
973.1338862851	0.0000000000	148
973.1498084638	0.0000000000	148
973.1657274327	0.0000000000	148
973.1816431859	0.0000000000	148
973.1975557215	0.0000000000	148
973.2134650308	0.0000000000	148
973.2293711051	0.0000000000	148
973.2452739357	0.0000000000	148
973.2611735139	0.0000000000	148
973.2770698310	0.0000000000	148
973.2929628783	0.0000000000	148
973.3088526471	0.0000000000	148
973.3247391288	0.0000000000	148
973.3406223129	0.0000000000	148
973.3565021770	0.0000000000	148
973.3723787278	0.0000000000	148
973.3882519568	0.0000000000	148
973.4041218553	0.0000000000	148
973.4199884145	0.0000000000	148
973.4358516260	0.0000000000	148
973.4517114811	0.0000000000	148
973.4675679712	0.0000000000	148
973.4834210875	0.0000000000	148
973.4992708217	0.0000000000	148
973.5151171650	0.0000000000	148
973.5309600978	0.0000000000	148
973.5467996157	0.0000000000	148
973.5626357170	0.0000000000	148
973.5784683929	0.0000000000	148
973.5942976351	0.0000000000	148
973.6101234348	0.0000000000	148
973.6259457836	0.0000000000	148
973.6417646729	0.0000000000	148
973.6575800942	0.0000000000	148
973.6733920389	0.0000000000	148
973.6892004985	0.0000000000	148
973.7050054619	0.0000000000	148
973.7208069075	0.0000000000	148
973.7366048423	0.0000000000	148
973.7523992579	0.0000000000	148
973.7681901458	0.0000000000	148
973.7839774976	0.0000000000	148
973.7997613046	0.0000000000	148
973.8155415586	0.0000000000	148
973.8313182509	0.0000000000	148
973.8470913731	0.0000000000	148
973.8628609169	0.0000000000	148
973.8786268737	0.0000000000	148
973.8943892228	0.0000000000	148
973.9101479616	0.0000000000	148
973.9259030880	0.0000000000	148
973.9416545937	0.0000000000	148
973.9574024703	0.0000000000	148
973.9731467093	0.0000000000	148
973.9888873024	0.0000000000	148
974.0046242411	0.0000000000	148
974.0203575172	0.0000000000	148
974.0360871222	0.0000000000	148
974.0518130477	0.0000000000	148
974.0675352822	0.0000000000	148
974.0832538045	0.0000000000	148
974.0989686223	0.0000000000	148
974.1146797271	0.0000000000	148
974.1303871108	0.0000000000	148
974.1460907648	0.0000000000	148
974.1617906811	0.0000000000	148
974.1774868511	0.0000000000	148
974.1931792667	0.0000000000	148
974.2088679196	0.0000000000	148
974.2245528014	0.0000000000	148
974.2402339039	0.0000000000	148
974.2559112052	0.0000000000	148
974.2715847044	0.0000000000	148
974.2872543995	0.0000000000	148
974.3029202821	0.0000000000	148
974.3185823441	0.0000000000	148
974.3342405772	0.0000000000	148
974.3498949732	0.0000000000	148
974.3655455238	0.0000000000	148
974.3811922210	0.0000000000	148
974.3968350564	0.0000000000	148
974.4124740219	0.0000000000	148
974.4281091051	0.0000000000	148
974.4437402858	0.0000000000	148
974.4593675721	0.0000000000	148
974.4749909556	0.0000000000	148
974.4906104283	0.0000000000	148
974.5062259820	0.0627850212	148
974.5218376086	0.1396535583	148
974.5374452999	0.1418156984	148
974.5530490479	0.1433523150	148
974.5686488443	0.1449498015	148
974.5842446812	0.1467246695	148
974.5998365503	0.1490173703	148
974.6154244286	0.1509904641	148
974.6310083172	0.1532248589	148
974.6465882138	0.1552553178	148
974.6621641103	0.1573560475	148
974.6777359987	0.1593791472	148
974.6933038708	0.1616218585	148
974.7088677187	0.1638079840	148
974.7244275343	0.1662329562	148
974.7399833096	0.1684697628	148
974.7555350365	0.1705710147	148
974.7710827072	0.1722324454	148
974.7866263083	0.1747581187	148
974.8021658210	0.1770541704	148
974.8177012532	0.1795861054	148
974.8332325971	0.1814098849	148
974.8487598446	0.1840802016	148
974.8642829878	0.1864096045	148
974.8798020187	0.1889675494	148
974.8953169294	0.1914424240	148
974.9108277120	0.1938430958	148
974.9263343584	0.1963051818	148
974.9418368609	0.1988196707	148
974.9573352115	0.2013350230	148
974.9728293857	0.2038212131	148
974.9883193869	0.2063859570	148
975.0038052124	0.2090382676	148
975.0192868544	0.2117173796	148
975.0347643049	0.2143015994	148
975.0502375562	0.2168960803	148
975.0657066002	0.2195216291	148
975.0811714293	0.2221346707	148
975.0966320356	0.2247460683	148
975.1120884111	0.2273350975	148
975.1275405482	0.2299074172	148
975.1429884329	0.2325982574	148
975.1584320473	0.2353358914	148
975.1738713998	0.2379522231	148
975.1893064824	0.2402938441	148
975.2047372876	0.2429969533	148
975.2201638074	0.2458103517	148
975.2355860341	0.2485357629	148
975.2510039600	0.2512332247	148
975.2664175774	0.2540089437	148
975.2818268784	0.2568107595	148
975.2972318553	0.2595346503	148
975.3126325005	0.2622536641	148
975.3280287883	0.2650823023	148
975.3434207241	0.2680450949	148
975.3588083049	0.2708517740	148
975.3741915232	0.2737261520	148
975.3895703711	0.2762817868	148
975.4049448410	0.2790920686	148
975.4203149253	0.2820052136	148
975.4356806163	0.2848106273	148
975.4510419064	0.2876490269	148
975.4663987879	0.2907015401	148
975.4817512532	0.2936798667	148
975.4970992875	0.2965280043	148
975.5124428745	0.2994119881	148
975.5277820223	0.3023083046	148
975.5431167235	0.3046808299	148
975.5584469704	0.3075834060	148
975.5737727555	0.3103990072	148
975.5890940712	0.3131991869	148
975.6044109099	0.3161313042	148
975.6197232642	0.3190259549	148
975.6350311264	0.3219096926	148
975.6503344891	0.3249180943	148
975.6656333446	0.3279862269	148
975.6809276661	0.3309217694	148
975.6962174613	0.3337693116	148
975.7115027269	0.3367462525	148
975.7267834554	0.3398661315	148
975.7420596392	0.3429196594	148
975.7573312709	0.3459158882	148
975.7725983431	0.3488377550	148
975.7878608483	0.3519669533	148
975.8031187790	0.3550799958	148
975.8183721279	0.3580441805	148
975.8336208875	0.3610703818	148
975.8488650422	0.3642171249	148
975.8641045769	0.3673618600	148
975.8793395001	0.3704482893	148
975.8945698043	0.3734471177	148
975.9097954822	0.3764967540	148
975.9250165264	0.3796589028	148
975.9402329295	0.3827391832	148
975.9554446842	0.3856116313	148
975.9706517832	0.3885263236	148
975.9858542191	0.3915144936	148
976.0010519846	0.3945300222	148
976.0162450723	0.3975807401	148
976.0314334540	0.4006678320	148
976.0466171399	0.4038551796	148
976.0617961261	0.4069980586	148
976.0769704053	0.4100624301	148
976.0921399703	0.4130183370	148
976.1073048139	0.4161156505	148
976.1224649287	0.4192856349	148
976.1376203075	0.4223922566	148
976.1527709431	0.4252887418	148
976.1679168283	0.4282523423	148
976.1830579559	0.4314963552	148
976.1981943091	0.4346576654	148
976.2133258748	0.4376333579	148
976.2284526613	0.4406796157	148
976.2435746612	0.4439025387	148
976.2586918675	0.4471368987	148
976.2738042730	0.4502162319	148
976.2889118706	0.4531217515	148
976.3040146530	0.4562067752	148
976.3191126133	0.4594586765	148
976.3342057442	0.4625309041	148
976.3492940386	0.4655163737	148
976.3643774895	0.4686740006	148
976.3794560670	0.4718801507	148
976.3945297841	0.4751520174	148
976.4095986363	0.4781245729	148
976.4246626166	0.4812437649	148
976.4397217178	0.4845589582	148
976.4547759330	0.4877396161	148
976.4698252551	0.4907591325	148
976.4848696771	0.4936752332	148
976.4999091920	0.4966529009	148
976.5149437927	0.4998460131	148
976.5299734722	0.5028854541	148
976.5449982130	0.5058446919	148
976.5600180035	0.5089042493	148
976.5750328518	0.5121471193	148
976.5900427510	0.5152247097	148
976.6050476941	0.5182305997	148
976.6200476742	0.5212636805	148
976.6350426843	0.5244668330	148
976.6500327176	0.5277192346	148
976.6650177670	0.5307592809	148
976.6799978257	0.5337481837	148
976.6949728868	0.5370018688	148
976.7099429434	0.5403150288	148
976.7249079643	0.5435777274	148
976.7398679650	0.5466987140	148
976.7548229406	0.5498843368	148
976.7697728841	0.5531112820	148
976.7847177888	0.5563569341	148
976.7996576478	0.5594527070	148
976.8145924542	0.5625431736	148
976.8295222013	0.5657712789	148
976.8444468823	0.5689990057	148
976.8593664903	0.5721382579	148
976.8742810186	0.5751652775	148
976.8891904485	0.5784181045	148
976.9040947705	0.5817576722	148
976.9189939923	0.5848016585	148
976.9338881074	0.5878231599	148
976.9487771088	0.5908047235	148
976.9636609900	0.5939354789	148
976.9785397442	0.5969605730	148
976.9934133646	0.5999181399	148
977.0082818446	0.6028455482	148
977.0231451775	0.6059797415	148
977.0380033566	0.6090578727	148
977.0528563753	0.6120026554	148
977.0677042007	0.6146515137	148
977.0825468514	0.6177132919	148
977.0973843216	0.6206812773	148
977.1122166047	0.6237547256	148
977.1270436941	0.6263772926	148
977.1418655831	0.6290669635	148
977.1566822651	0.6320661106	148
977.1714937336	0.6350984912	148
977.1862999819	0.6380648037	148
977.2011010035	0.6409582367	148
977.2158967919	0.6439661770	148
977.2306873272	0.6470845492	148
977.2454726019	0.6500350407	148
977.2602526236	0.6529196630	148
977.2750273858	0.6557903646	148
977.2897968820	0.6587726741	148
977.3045611056	0.6617513917	148
977.3193200502	0.6645254699	148
