#Or	Wc	DFSR	Wmin	Wmax
#0	1		2		3		4
149	977.05	6.56	973.79	980.35
148	983.65	6.65	980.35	987.00
147	990.35	6.74	987.00	993.74
146	997.13	6.83	993.74	1000.57
145	1004.01	6.92	1000.57	1007.49
144	1010.98	7.02	1007.49	1014.51
143	1018.05	7.12	1014.51	1021.63
142	1025.22	7.22	1021.63	1028.85
141	1032.49	7.29	1028.85	1036.14
140	1039.86	7.42	1036.18	1043.60
139	1047.34	7.54	1043.60	1051.14
138	1054.93	7.64	1051.14	1058.78
137	1062.63	7.76	1058.78	1066.54
136	1070.45	7.87	1066.54	1074.41
135	1078.38	7.99	1074.41	1082.40
134	1086.42	8.11	1082.40	1090.51
133	1094.59	8.23	1090.51	1098.74
132	1102.88	8.35	1098.74	1107.09
131	1111.30	8.49	1107.09	1115.58
130	1119.85	8.61	1115.58	1124.19
129	1128.53	8.75	1124.19	1132.94
128	1137.35	8.89	1132.94	1141.83
127	1146.31	9.02	1141.83	1150.85
126	1155.40	9.17	1150.85	1160.02
125	1164.65	9.32	1160.02	1169.34
124	1174.04	9.47	1169.34	1178.81
123	1183.58	9.62	1178.81	1188.43
122	1193.28	9.79	1188.43	1198.22
121	1203.15	9.94	1198.22	1208.16
120	1213.17	10.11	1208.16	1218.27
119	1223.37	10.28	1218.27	1228.55
118	1233.74	10.46	1228.55	1239.01
117	1244.28	10.63	1239.01	1249.64
116	1255.01	10.82	1249.64	1260.46
115	1265.92	11.01	1260.46	1271.47
114	1277.02	11.20	1271.47	1282.67
113	1288.33	11.41	1282.67	1294.08
112	1299.83	11.60	1294.08	1305.68
111	1311.54	11.82	1305.68	1317.50
110	1323.46	12.03	1317.50	1329.53
109	1335.60	12.26	1329.53	1341.79
108	1347.97	12.48	1341.79	1354.27
107	1360.57	12.72	1354.27	1366.99
106	1373.40	12.95	1366.99	1379.94
105	1386.48	13.21	1379.94	1393.15
104	1399.81	13.46	1393.15	1406.61
103	1413.41	13.72	1406.61	1420.33
102	1427.26	14.00	1420.33	1434.33
101	1441.39	14.27	1434.33	1448.60
100	1455.81	14.56	1448.60	1463.16
99	1470.51	14.86	1463.16	1478.02
98	1485.52	15.16	1478.02	1493.18
97	1500.83	15.47	1493.18	1508.65
96	1516.47	15.80	1508.65	1524.45
95	1532.43	16.13	1524.45	1540.58
94	1548.73	16.48	1540.58	1557.06
93	1565.38	16.83	1557.06	1573.89
92	1582.40	17.20	1573.89	1591.09
91	1599.79	17.59	1591.09	1608.68
90	1617.56	17.97	1608.68	1626.65
89	1635.74	18.38	1626.65	1645.03
88	1654.33	18.80	1645.03	1663.83
87	1673.34	19.24	1663.83	1683.07
86	1692.80	19.69	1683.07	1702.76
85	1712.71	20.15	1702.76	1722.91
84	1733.10	20.63	1722.91	1743.54
83	1753.98	21.14	1743.54	1764.68
82	1775.38	21.65	1764.68	1786.33
81	1797.29	22.20	1786.33	1808.53
