lbd [nm]	H4RG
980	0.9222
990	0.9230
1000	0.9239
1010	0.9248
1020	0.9256
1030	0.9265
1040	0.9273
1050	0.9282
1060	0.9290
1070	0.9298
1080	0.9306
1090	0.9314
1100	0.9322
1110	0.9330
1120	0.9337
1130	0.9344
1140	0.9351
1150	0.9358
1160	0.9364
1170	0.9370
1180	0.9376
1190	0.9382
1200	0.9387
1210	0.9392
1220	0.9396
1230	0.9400
1240	0.9404
1250	0.9407
1260	0.9410
1270	0.9412
1280	0.9414
1290	0.9415
1300	0.9416
1310	0.9416
1320	0.9416
1330	0.9415
1340	0.9413
1350	0.9411
1360	0.9409
1370	0.9405
1380	0.9401
1390	0.9396
1400	0.9391
1410	0.9385
1420	0.9378
1430	0.9370
1440	0.9362
1450	0.9353
1460	0.9343
1470	0.9332
1480	0.9320
1490	0.9307
1500	0.9294
1510	0.9280
1520	0.9264
1530	0.9248
1540	0.9231
1550	0.9213
1560	0.9194
1570	0.9174
1580	0.9152
1590	0.9130
1600	0.9107
1610	0.9083
1620	0.9057
1630	0.9031
1640	0.9003
1650	0.8974
1660	0.8944
1670	0.8913
1680	0.8881
1690	0.8847
1700	0.8812
1710	0.8776
1720	0.8738
1730	0.8700
1740	0.8660
1750	0.8618
1760	0.8576
1770	0.8532
1780	0.8486
1790	0.8439
1800	0.8391
