lbd [nm]	Throughut HAF	Throughput HEF
980	0.062	0.0591
990	0.062	0.0591
1000	0.064	0.0612
1010	0.066	0.0629
1020	0.068	0.0650
1030	0.071	0.0675
1040	0.074	0.0704
1050	0.077	0.0735
1060	0.080	0.0765
1070	0.083	0.0795
1080	0.084	0.0808
1090	0.089	0.0850
1100	0.091	0.0873
1110	0.094	0.0899
1120	0.096	0.0918
1130	0.097	0.0932
1140	0.096	0.0920
1150	0.099	0.0951
1160	0.100	0.0960
1170	0.101	0.0968
1180	0.102	0.0976
1190	0.102	0.0974
1200	0.102	0.0979
1210	0.103	0.0988
1220	0.104	0.0990
1230	0.105	0.1000
1240	0.105	0.1006
1250	0.106	0.1011
1260	0.107	0.1019
1270	0.108	0.1029
1280	0.109	0.1041
1290	0.111	0.1054
1300	0.112	0.1063
1310	0.112	0.1067
1320	0.113	0.1076
1330	0.114	0.1083
1340	0.115	0.1090
1350	0.115	0.1092
1360	0.115	0.1095
1370	0.116	0.1096
1380	0.115	0.1089
1390	0.115	0.1086
1400	0.115	0.1087
1410	0.114	0.1083
1420	0.114	0.1078
1430	0.113	0.1066
1440	0.114	0.1079
1450	0.115	0.1083
1460	0.115	0.1082
1470	0.113	0.1071
1480	0.113	0.1070
1490	0.113	0.1067
1500	0.112	0.1059
1510	0.112	0.1059
1520	0.113	0.1062
1530	0.114	0.1070
1540	0.114	0.1075
1550	0.115	0.1080
1560	0.114	0.1069
1570	0.115	0.1082
1580	0.116	0.1094
1590	0.117	0.1102
1600	0.117	0.1104
1610	0.117	0.1102
1620	0.119	0.1115
1630	0.119	0.1120
1640	0.120	0.1126
1650	0.120	0.1130
1660	0.121	0.1134
1670	0.121	0.1135
1680	0.120	0.1131
1690	0.122	0.1141
1700	0.122	0.1144
1710	0.121	0.1138
1720	0.120	0.1128
1730	0.118	0.1111
1740	0.118	0.1106
1750	0.117	0.1101
1760	0.116	0.1091
1770	0.114	0.1074
1780	0.112	0.1055
1790	0.109	0.1031
1800	0.106	0.0999
