lbd [nm]	Thoughput
381.00	0.715
391.00	0.741
401.00	0.763
411.00	0.784
421.00	0.802
431.00	0.818
441.00	0.832
451.00	0.846
461.00	0.857
471.00	0.866
481.00	0.873
491.00	0.883
501.00	0.888
511.00	0.893
521.00	0.897
531.00	0.896
541.00	0.899
551.00	0.902
561.00	0.901
571.00	0.896
581.00	0.902
591.00	0.894
601.00	0.906
611.00	0.915
621.00	0.921
631.00	0.922
641.00	0.936
651.00	0.943
661.00	0.948
671.00	0.954
681.00	0.959
691.00	0.955
701.00	0.954
711.00	0.965
721.00	0.950
731.00	0.954
741.00	0.974
751.00	0.976
761.00	0.617
771.00	0.978
781.00	0.980
791.00	0.980
801.00	0.982
811.00	0.977
821.00	0.968
831.00	0.976
841.00	0.983
851.00	0.986
861.00	0.986
871.00	0.988
881.00	0.989
891.00	0.989
901.00	0.976
911.00	0.981
921.00	0.980
931.00	0.657
941.00	0.420
951.00	0.942
961.00	0.054
971.00	0.983
981.00	0.984
991.00	0.989
1001.00	0.992
1011.00	0.992
1021.00	0.982
1031.00	0.994
1041.00	0.993
1051.00	0.992
1061.00	0.986
1071.00	0.989
1081.00	0.990
1091.00	0.994
1101.00	0.986
1111.00	0.900
1121.00	0.227
1131.00	0.913
1141.00	0.839
1151.00	0.000
1161.00	0.957
1171.00	0.929
1181.00	0.722
1191.00	0.777
1201.00	0.795
1211.00	0.786
1221.00	0.989
1231.00	0.992
1241.00	0.991
1251.00	0.985
1261.00	0.965
1271.00	0.955
1281.00	0.988
1291.00	0.993
1301.00	0.974
1311.00	0.991
1321.00	0.782
1331.00	0.172
1341.00	0.145
1351.00	0.155
1361.00	0.000
1371.00	0.000
1381.00	0.009
1391.00	0.254
1401.00	0.000
1411.00	0.012
1421.00	0.562
1431.00	0.321
1441.00	0.007
1451.00	0.593
1461.00	0.585
1471.00	0.628
1481.00	0.856
1491.00	0.000
1501.00	0.979
1511.00	0.992
1521.00	0.995
1531.00	0.962
1541.00	0.998
1551.00	0.993
1561.00	0.999
1571.00	0.914
1581.00	0.979
1591.00	0.999
1601.00	0.992
1611.00	0.991
1621.00	0.998
1631.00	0.998
1641.00	0.998
1651.00	0.997
1661.00	0.992
1671.00	0.997
1681.00	0.993
1691.00	0.987
1701.00	0.997
1711.00	0.995
1721.00	0.288
1731.00	0.987
1741.00	0.938
1751.00	0.557
1761.00	0.983
1771.00	0.984
1781.00	0.699
1791.00	0.603
1801.00	0.336
1811.00	0.312
1821.00	0.000
1831.00	0.000
1841.00	0.000
1851.00	0.077
1861.00	0.027
1871.00	0.000
1881.00	0.008
1891.00	0.000
1901.00	0.013
1911.00	0.000
1921.00	0.008
1931.00	0.016
1941.00	0.000
1951.00	0.764
1961.00	0.173
1971.00	0.003
1981.00	0.763
1991.00	0.977
2001.00	0.000
2011.00	0.002
2021.00	0.518
2031.00	0.985
2041.00	0.861
2051.00	0.486
2061.00	0.841
2071.00	0.940
2081.00	0.982
2091.00	0.976
2101.00	0.928
2111.00	0.990
2121.00	0.996
2131.00	0.999
2141.00	0.999
2151.00	0.977
2161.00	0.996
2171.00	0.998
2181.00	0.998
2191.00	0.998
2201.00	0.972
2211.00	0.996
2221.00	0.852
2231.00	0.646
2241.00	0.986
2251.00	0.960
2261.00	0.969
2271.00	0.971
2281.00	0.969
2291.00	0.932
2301.00	0.982
2311.00	0.948
2321.00	0.968
2331.00	0.757
2341.00	0.953
2351.00	0.034
2361.00	0.293
2371.00	0.115
2381.00	0.972
2391.00	0.459
2401.00	0.954
