lbd [nm]	IJH spectrograph
	
980	0.1740
990	0.1759
1000	0.1781
1010	0.1814
1020	0.1854
1030	0.1902
1040	0.1960
1050	0.2023
1060	0.2087
1070	0.2153
1080	0.2212
1090	0.2261
1100	0.2308
1110	0.2358
1120	0.2396
1130	0.2426
1140	0.2449
1150	0.2467
1160	0.2485
1170	0.2504
1180	0.2522
1190	0.2530
1200	0.2535
1210	0.2550
1220	0.2569
1230	0.2584
1240	0.2585
1250	0.2591
1260	0.2608
1270	0.2628
1280	0.2650
1290	0.2671
1300	0.2694
1310	0.2709
1320	0.2718
1330	0.2735
1340	0.2760
1350	0.2790
1360	0.2799
1370	0.2789
1380	0.2772
1390	0.2760
1400	0.2756
1410	0.2757
1420	0.2763
1430	0.2767
1440	0.2777
1450	0.2790
1460	0.2803
1470	0.2812
1480	0.2808
1490	0.2786
1500	0.2769
1510	0.2776
1520	0.2791
1530	0.2821
1540	0.2839
1550	0.2860
1560	0.2875
1570	0.2893
1580	0.2919
1590	0.2947
1600	0.2970
1610	0.2989
1620	0.3005
1630	0.3020
1640	0.3041
1650	0.3061
1660	0.3088
1670	0.3108
1680	0.3125
1690	0.3136
1700	0.3140
1710	0.3137
1720	0.3132
1730	0.3125
1740	0.3114
1750	0.3100
1760	0.3084
1770	0.3057
1780	0.3024
1790	0.2984
1800	0.2936
