lbd [nm]	  I=9 - HAF	  I=10 - HAF	  I=11 - HAF	  I=12 - HAF	  I=  9 - HEF	  I=10 - HEF	  I=11 - HEF	  I=12 - HEF
980	0.448	0.377	0.270	0.145	0.638	0.612	0.560	0.486
990	0.453	0.382	0.275	0.146	0.641	0.613	0.562	0.488
1000	0.458	0.386	0.276	0.146	0.643	0.615	0.564	0.490
1010	0.463	0.391	0.276	0.147	0.645	0.617	0.565	0.491
1020	0.468	0.396	0.281	0.150	0.647	0.619	0.567	0.493
1030	0.474	0.402	0.286	0.153	0.649	0.621	0.569	0.495
1040	0.479	0.407	0.290	0.155	0.651	0.623	0.571	0.496
1050	0.484	0.413	0.295	0.158	0.653	0.625	0.572	0.498
1060	0.490	0.418	0.300	0.161	0.655	0.627	0.574	0.500
1070	0.494	0.423	0.304	0.163	0.657	0.629	0.576	0.501
1080	0.499	0.427	0.307	0.165	0.659	0.630	0.578	0.503
1090	0.504	0.432	0.310	0.167	0.661	0.632	0.579	0.504
1100	0.508	0.437	0.312	0.169	0.663	0.634	0.581	0.506
1110	0.513	0.441	0.314	0.171	0.665	0.636	0.583	0.508
1120	0.516	0.444	0.316	0.172	0.667	0.638	0.584	0.509
1130	0.520	0.448	0.317	0.172	0.669	0.639	0.586	0.511
1140	0.523	0.451	0.322	0.172	0.671	0.641	0.588	0.512
1150	0.527	0.454	0.326	0.173	0.673	0.643	0.589	0.514
1160	0.530	0.458	0.331	0.173	0.675	0.645	0.591	0.516
1170	0.535	0.462	0.336	0.176	0.676	0.646	0.593	0.517
1180	0.539	0.467	0.340	0.179	0.678	0.648	0.594	0.519
1190	0.543	0.472	0.345	0.182	0.680	0.650	0.596	0.520
1200	0.548	0.477	0.349	0.185	0.682	0.652	0.597	0.522
1210	0.552	0.481	0.354	0.188	0.684	0.653	0.599	0.523
1220	0.556	0.486	0.358	0.191	0.685	0.655	0.601	0.525
1230	0.561	0.490	0.363	0.194	0.687	0.657	0.602	0.526
1240	0.565	0.495	0.367	0.197	0.689	0.658	0.604	0.528
1250	0.569	0.500	0.371	0.200	0.691	0.660	0.605	0.529
1260	0.573	0.504	0.371	0.203	0.692	0.661	0.607	0.530
1270	0.576	0.507	0.370	0.203	0.694	0.663	0.608	0.532
1280	0.579	0.509	0.373	0.203	0.696	0.665	0.610	0.533
1290	0.581	0.511	0.376	0.203	0.697	0.666	0.611	0.535
1300	0.584	0.514	0.376	0.203	0.699	0.668	0.613	0.536
1310	0.587	0.516	0.376	0.203	0.701	0.669	0.614	0.538
1320	0.589	0.519	0.380	0.203	0.702	0.671	0.616	0.539
1330	0.592	0.522	0.384	0.204	0.704	0.673	0.617	0.540
1340	0.595	0.525	0.388	0.205	0.705	0.674	0.619	0.542
1350	0.598	0.528	0.392	0.205	0.707	0.676	0.620	0.543
1360	0.601	0.531	0.396	0.206	0.708	0.677	0.622	0.544
1370	0.604	0.535	0.400	0.209	0.710	0.679	0.623	0.546
1380	0.607	0.538	0.404	0.212	0.711	0.680	0.625	0.547
1390	0.610	0.542	0.408	0.215	0.713	0.681	0.626	0.548
1400	0.614	0.546	0.412	0.219	0.714	0.683	0.627	0.550
1410	0.617	0.550	0.416	0.222	0.716	0.684	0.629	0.551
1420	0.619	0.552	0.420	0.222	0.717	0.686	0.630	0.552
1430	0.622	0.554	0.424	0.222	0.719	0.687	0.632	0.554
1440	0.624	0.557	0.422	0.222	0.720	0.689	0.633	0.555
1450	0.627	0.559	0.420	0.222	0.721	0.690	0.634	0.556
1460	0.629	0.562	0.424	0.222	0.723	0.691	0.636	0.557
1470	0.632	0.565	0.428	0.224	0.724	0.693	0.637	0.559
1480	0.634	0.568	0.431	0.227	0.726	0.694	0.638	0.560
1490	0.637	0.571	0.435	0.230	0.727	0.695	0.640	0.561
1500	0.640	0.574	0.438	0.233	0.728	0.697	0.641	0.562
1510	0.642	0.577	0.441	0.236	0.729	0.698	0.642	0.563
1520	0.644	0.579	0.444	0.238	0.731	0.699	0.643	0.565
1530	0.646	0.581	0.447	0.240	0.732	0.701	0.645	0.566
1540	0.647	0.583	0.449	0.242	0.733	0.702	0.646	0.567
1550	0.649	0.585	0.451	0.245	0.734	0.703	0.647	0.568
1560	0.650	0.587	0.449	0.247	0.736	0.705	0.649	0.569
1570	0.651	0.588	0.446	0.247	0.737	0.706	0.650	0.570
1580	0.652	0.589	0.450	0.247	0.738	0.707	0.651	0.572
1590	0.653	0.590	0.453	0.247	0.739	0.708	0.652	0.573
1600	0.654	0.591	0.456	0.248	0.740	0.710	0.653	0.574
1610	0.654	0.592	0.460	0.248	0.741	0.711	0.655	0.575
1620	0.656	0.595	0.463	0.251	0.743	0.712	0.656	0.576
1630	0.658	0.597	0.466	0.254	0.744	0.713	0.657	0.577
1640	0.660	0.599	0.469	0.257	0.745	0.714	0.658	0.578
1650	0.661	0.601	0.472	0.260	0.746	0.715	0.659	0.579
1660	0.663	0.604	0.475	0.264	0.747	0.717	0.660	0.580
1670	0.665	0.606	0.478	0.267	0.748	0.718	0.662	0.581
1680	0.666	0.608	0.481	0.270	0.749	0.719	0.663	0.582
1690	0.668	0.610	0.484	0.273	0.750	0.720	0.664	0.583
1700	0.670	0.612	0.487	0.276	0.751	0.721	0.665	0.584
1710	0.671	0.614	0.490	0.279	0.752	0.722	0.666	0.585
1720	0.672	0.615	0.486	0.278	0.753	0.723	0.667	0.586
1730	0.672	0.615	0.482	0.278	0.754	0.724	0.668	0.587
1740	0.673	0.616	0.485	0.277	0.755	0.725	0.669	0.588
1750	0.674	0.616	0.488	0.276	0.756	0.726	0.670	0.589
1760	0.674	0.617	0.490	0.275	0.756	0.727	0.671	0.590
1770	0.675	0.618	0.493	0.278	0.757	0.728	0.672	0.591
1780	0.677	0.620	0.495	0.281	0.758	0.729	0.673	0.592
1790	0.678	0.621	0.498	0.284	0.759	0.730	0.674	0.593
1800	0.679	0.623	0.500	0.286	0.759744	0.731	0.675	0.594
