lbd[nm]	ABS [dB/km]	T	ARC 01 [R %]	ARC 02 [R %]	T optics calc.	T optics JL	Total HA	
980	1.2263	0.867	0.119	0.168	0.952	0.837	0.599	0.7483
990	1.1876	0.868	0.119	0.136	0.952	0.840	0.599	0.748769231
1000	1.1672	0.869	0.137	0.125	0.950	0.843	0.600	0.749238462
1010	1.1542	0.869	0.167	0.121	0.946	0.845	0.601	0.749707692
1020	1.1452	0.870	0.205	0.128	0.942	0.846	0.601	0.750176923
1030	1.1385	0.870	0.249	0.144	0.936	0.848	0.602	0.750646154
1040	1.1334	0.870	0.287	0.163	0.932	0.849	0.602	0.751115385
1050	1.1295	0.870	0.311	0.181	0.929	0.849	0.603	0.751584615
1060	1.1262	0.870	0.324	0.194	0.927	0.849	0.603	0.752053846
1070	1.1232	0.870	0.328	0.202	0.927	0.849	0.603	0.752523077
1080	1.1204	0.870	0.324	0.205	0.927	0.849	0.603	0.752992308
1090	1.1173	0.870	0.311	0.205	0.929	0.849	0.604	0.753461538
1100	1.1133	0.870	0.293	0.203	0.931	0.848	0.604	0.753930769
1110	1.1078	0.871	0.271	0.199	0.933	0.847	0.604	0.7544
1120	1.099	0.871	0.247	0.194	0.936	0.846	0.604	0.753551282
1130	1.0834	0.871	0.221	0.187	0.940	0.844	0.603	0.752702564
1140	1.0544	0.872	0.195	0.178	0.943	0.843	0.603	0.751853846
1150	1.0073	0.873	0.169	0.168	0.946	0.841	0.603	0.751005128
1160	0.9774	0.874	0.144	0.158	0.949	0.840	0.603	0.75015641
1170	0.9663	0.874	0.121	0.149	0.952	0.838	0.602	0.749307692
1180	0.9623	0.874	0.100	0.141	0.954	0.836	0.602	0.748458974
1190	0.9624	0.874	0.084	0.138	0.957	0.834	0.602	0.747610256
1200	0.9656	0.874	0.072	0.138	0.958	0.832	0.601	0.746761538
1210	0.9715	0.874	0.066	0.142	0.959	0.830	0.601	0.745912821
1220	0.9802	0.874	0.066	0.149	0.959	0.828	0.600	0.745064103
1230	0.9924	0.874	0.071	0.158	0.958	0.826	0.600	0.744215385
1240	1.0097	0.873	0.080	0.169	0.957	0.825	0.599	0.743366667
1250	1.0365	0.872	0.093	0.182	0.955	0.823	0.599	0.742517949
1260	1.0867	0.871	0.110	0.196	0.953	0.821	0.598	0.741669231
1270	1.3767	0.864	0.132	0.211	0.951	0.820	0.597	0.740820513
1280	1.4034	0.863	0.158	0.226	0.947	0.818	0.597	0.739971795
1290	1.3615	0.864	0.185	0.243	0.944	0.817	0.596	0.739123077
1300	1.2951	0.866	0.212	0.259	0.941	0.816	0.595	0.738274359
1310	1.1905	0.868	0.240	0.276	0.937	0.815	0.594	0.737425641
1320	1.063	0.872	0.267	0.293	0.934	0.814	0.593	0.736576923
1330	1.0563	0.872	0.293	0.310	0.931	0.813	0.593	0.735728205
1340	1.1148	0.870	0.320	0.327	0.928	0.812	0.592	0.734879487
1350	1.2102	0.868	0.346	0.341	0.924	0.811	0.591	0.734030769
1360	1.3401	0.865	0.372	0.352	0.921	0.811	0.590	0.733182051
1370	1.5114	0.860	0.398	0.361	0.918	0.810	0.589	0.732333333
1380	1.7601	0.854	0.424	0.368	0.915	0.810	0.588	0.731484615
1390	2.1798	0.843	0.449	0.373	0.912	0.810	0.587	0.730635897
1400	3.241	0.817	0.473	0.376	0.909	0.810	0.586	0.729787179
1410	8.289	0.702	0.496	0.377	0.906	0.810	0.585	0.728938462
1420	9.586	0.675	0.516	0.377	0.904	0.810	0.584	0.728089744
1430	7.46	0.720	0.521	0.373	0.904	0.810	0.583	0.727241026
1440	4.482	0.787	0.514	0.368	0.904	0.810	0.583	0.726392308
1450	2.701	0.830	0.507	0.359	0.905	0.811	0.582	0.72554359
1460	1.9024	0.850	0.500	0.347	0.906	0.812	0.581	0.724694872
1470	1.5374	0.859	0.491	0.333	0.907	0.812	0.580	0.723846154
1480	1.3071	0.865	0.479	0.317	0.908	0.813	0.579	0.722997436
1490	1.1396	0.870	0.465	0.299	0.910	0.814	0.578	0.722148718
1500	1.0181	0.873	0.448	0.281	0.912	0.815	0.577	0.7213
1510	0.9275	0.875	0.430	0.263	0.914	0.817	0.576	0.720174532
