lbd[nm]	ABS [dB/km]	T	ARC 01 [R %]	ARC 02 [R %]	T optics cal.	T optics JL	Total HE	
980	1.2263	0.978	0.119	0.168	0.911	0.806	0.572	0.715
990	1.1876	0.979	0.119	0.136	0.914	0.809	0.573	0.715553846
1000	1.1672	0.979	0.137	0.125	0.916	0.811	0.574	0.716107692
1010	1.1542	0.979	0.167	0.121	0.917	0.812	0.575	0.716661538
1020	1.1452	0.980	0.205	0.128	0.916	0.814	0.575	0.717215385
1030	1.1385	0.980	0.249	0.144	0.914	0.815	0.576	0.717769231
1040	1.1334	0.980	0.287	0.163	0.911	0.815	0.576	0.718323077
1050	1.1295	0.980	0.311	0.181	0.910	0.816	0.577	0.718876923
1060	1.1262	0.980	0.324	0.194	0.909	0.816	0.577	0.719430769
1070	1.1232	0.980	0.328	0.202	0.907	0.816	0.577	0.719984615
1080	1.1204	0.980	0.324	0.205	0.907	0.815	0.578	0.720538462
1090	1.1173	0.980	0.311	0.205	0.907	0.815	0.578	0.721092308
1100	1.1133	0.980	0.293	0.203	0.907	0.814	0.578	0.721646154
1110	1.1078	0.980	0.271	0.199	0.907	0.813	0.578	0.7222
1120	1.099	0.980	0.247	0.194	0.908	0.812	0.578	0.721117949
1130	1.0834	0.981	0.221	0.187	0.909	0.810	0.577	0.720035897
1140	1.0544	0.981	0.195	0.178	0.910	0.809	0.577	0.718953846
1150	1.0073	0.982	0.169	0.168	0.912	0.807	0.577	0.717871795
1160	0.9774	0.983	0.144	0.158	0.912	0.806	0.577	0.716789744
1170	0.9663	0.983	0.121	0.149	0.913	0.804	0.576	0.715707692
1180	0.9623	0.983	0.100	0.141	0.914	0.802	0.576	0.714625641
1190	0.9624	0.983	0.084	0.138	0.915	0.800	0.575	0.71354359
1200	0.9656	0.983	0.072	0.138	0.915	0.799	0.575	0.712461538
1210	0.9715	0.983	0.066	0.142	0.914	0.797	0.574	0.711379487
1220	0.9802	0.983	0.066	0.149	0.913	0.795	0.573	0.710297436
1230	0.9924	0.982	0.071	0.158	0.911	0.793	0.573	0.709215385
1240	1.0097	0.982	0.080	0.169	0.911	0.791	0.572	0.708133333
1250	1.0365	0.982	0.093	0.182	0.909	0.790	0.571	0.707051282
1260	1.0867	0.981	0.110	0.196	0.908	0.788	0.570	0.705969231
1270	1.3767	0.976	0.132	0.211	0.906	0.787	0.569	0.704887179
1280	1.4034	0.975	0.158	0.226	0.905	0.785	0.568	0.703805128
1290	1.3615	0.976	0.185	0.243	0.903	0.784	0.567	0.702723077
1300	1.2951	0.977	0.212	0.259	0.900	0.783	0.566	0.701641026
1310	1.1905	0.979	0.240	0.276	0.899	0.782	0.565	0.700558974
1320	1.063	0.981	0.267	0.293	0.896	0.781	0.564	0.699476923
1330	1.0563	0.981	0.293	0.310	0.895	0.780	0.563	0.698394872
1340	1.1148	0.980	0.320	0.327	0.892	0.779	0.562	0.697312821
1350	1.2102	0.978	0.346	0.341	0.890	0.779	0.561	0.696230769
1360	1.3401	0.976	0.372	0.352	0.889	0.778	0.560	0.695148718
1370	1.5114	0.973	0.398	0.361	0.890	0.778	0.559	0.694066667
1380	1.7601	0.969	0.424	0.368	0.888	0.777	0.558	0.692984615
1390	2.1798	0.962	0.449	0.373	0.888	0.777	0.557	0.691902564
1400	3.241	0.943	0.473	0.376	0.888	0.777	0.556	0.690820513
1410	8.289	0.861	0.496	0.377	0.888	0.777	0.554	0.689738462
1420	9.586	0.842	0.516	0.377	0.888	0.777	0.553	0.68865641
1430	7.46	0.874	0.521	0.373	0.888	0.777	0.552	0.687574359
1440	4.482	0.922	0.514	0.368	0.889	0.778	0.551	0.686492308
1450	2.701	0.953	0.507	0.359	0.890	0.778	0.550	0.685410256
1460	1.9024	0.966	0.500	0.347	0.891	0.779	0.549	0.684328205
1470	1.5374	0.973	0.491	0.333	0.893	0.779	0.547	0.683246154
1480	1.3071	0.977	0.479	0.317	0.895	0.780	0.546	0.682164103
1490	1.1396	0.980	0.465	0.299	0.897	0.781	0.545	0.681082051
1500	1.0181	0.982	0.448	0.281	0.899	0.782	0.544	0.68
1510	0.9275	0.983	0.430	0.263	0.900	0.784	0.543	0.678625
1520	0.8587	0.985	0.410	0.248	0.901	0.785	0.542	0.67725
1530	0.8087	0.986	0.389	0.235	0.903	0.786	0.541	0.676
1540	0.7732	0.986	0.368	0.221	0.905	0.788	0.540	0.674625
1550	0.7485	0.987	0.346	0.206	0.907	0.789	0.539	0.673375
1560	0.7318	0.987	0.324	0.189	0.908	0.791	0.538	0.672125
1570	0.7211	0.987	0.301	0.172	0.910	0.792	0.537	0.671
1580	0.715	0.987	0.279	0.155	0.912	0.793	0.536	0.669875
1590	0.7127	0.987	0.257	0.139	0.914	0.795	0.535	0.66875
1600	0.7134	0.987	0.235	0.125	0.916	0.796	0.534	0.667625
1610	0.7164	0.987	0.213	0.114	0.918	0.797	0.533	0.666625
1620	0.7214	0.987	0.192	0.106	0.919	0.798	0.533	0.665625
1630	0.7282	0.987	0.171	0.102	0.920	0.799	0.532	0.66475
1640	0.7366	0.987	0.151	0.100	0.921	0.800	0.531	0.663875
1650	0.7466	0.987	0.132	0.101	0.921	0.800	0.531	0.663125
1660	0.7581	0.986	0.116	0.104	0.921	0.800	0.530	0.662375
1670	0.7712	0.986	0.101	0.109	0.921	0.800	0.529	0.66175
1680	0.7859	0.986	0.090	0.118	0.919	0.800	0.529	0.661125
1690	0.8025	0.986	0.082	0.134	0.917	0.799	0.528	0.6605
1700	0.821	0.985	0.079	0.157	0.914	0.798	0.528	0.660125
1710	0.8418	0.985	0.081	0.184	0.911	0.797	0.528	0.65975
1720	0.8654	0.985	0.089	0.216	0.906	0.795	0.528	0.659375
1730	0.8926	0.984	0.103	0.251	0.902	0.793	0.527	0.659125
1740	0.925	0.983	0.123	0.290	0.897	0.791	0.527	0.659
1750	0.9655	0.983	0.149	0.333	0.892	0.788	0.527	0.658875
1760	1.019	0.982	0.180	0.380	0.886	0.784	0.527	0.659
1770	1.0942	0.980	0.216	0.432	0.880	0.780	0.527	0.659125
1780	1.2033	0.979	0.257	0.488	0.874	0.776	0.527	0.65925
1790	1.3546	0.976	0.302	0.549	0.867	0.771	0.528	0.659625
1800	1.5381	0.973	0.351	0.615	0.859	0.765	0.528	0.66
