lbd [nm]	NIR/VIS dichro	YJH/WFS dichro	Front-End /w mirror	Front-End /from FP1
980	0.994	0.980	0.810	0.815
990	0.998	0.989	0.820	0.821
1000	0.998	0.989	0.819	0.820
1010	0.999	0.989	0.821	0.821
1020	0.999	0.988	0.823	0.823
1030	1.000	0.988	0.827	0.827
1040	1.000	0.986	0.829	0.829
1050	0.999	0.986	0.830	0.831
1060	0.999	0.984	0.832	0.833
1070	0.975	0.987	0.818	0.839
1080	0.995	0.986	0.835	0.840
1090	0.994	0.987	0.836	0.841
1100	0.997	0.988	0.839	0.842
1110	0.998	0.987	0.840	0.842
1120	0.997	0.987	0.838	0.840
1130	0.974	0.986	0.816	0.838
1140	0.997	0.987	0.836	0.838
1150	0.998	0.987	0.834	0.836
1160	0.997	0.988	0.833	0.835
1170	0.996	0.988	0.831	0.834
1180	0.991	0.988	0.825	0.832
1190	0.993	0.989	0.827	0.833
1200	0.993	0.990	0.828	0.834
1210	0.985	0.989	0.821	0.833
1220	0.988	0.989	0.824	0.834
1230	0.991	0.989	0.827	0.835
1240	0.991	0.989	0.829	0.837
1250	0.991	0.989	0.830	0.837
1260	0.991	0.990	0.832	0.839
1270	0.993	0.987	0.833	0.839
1280	0.994	0.988	0.837	0.842
1290	0.992	0.988	0.837	0.844
1300	0.992	0.987	0.836	0.843
1310	0.994	0.988	0.841	0.846
1320	0.994	0.988	0.842	0.846
1330	0.991	0.988	0.840	0.847
1340	0.984	0.987	0.833	0.847
1350	0.985	0.987	0.834	0.847
1360	0.988	0.989	0.839	0.849
1370	0.989	0.988	0.839	0.849
1380	0.993	0.988	0.842	0.848
1390	0.995	0.989	0.845	0.849
1400	0.995	0.988	0.843	0.847
1410	0.990	0.988	0.839	0.847
1420	0.981	0.988	0.830	0.846
1430	0.992	0.988	0.839	0.845
1440	0.995	0.989	0.841	0.845
1450	0.992	0.989	0.838	0.844
1460	0.983	0.987	0.828	0.842
1470	0.986	0.988	0.830	0.842
1480	0.994	0.988	0.837	0.842
1490	0.997	0.987	0.837	0.840
1500	0.998	0.988	0.838	0.839
1510	0.999	0.988	0.838	0.839
1520	0.999	0.988	0.838	0.839
1530	0.999	0.989	0.839	0.840
1540	0.998	0.990	0.840	0.842
1550	0.986	0.989	0.829	0.841
1560	0.994	0.989	0.837	0.841
1570	0.998	0.990	0.841	0.843
1580	0.998	0.989	0.842	0.843
1590	0.997	0.987	0.840	0.843
1600	0.990	0.988	0.836	0.844
1610	0.996	0.989	0.844	0.848
1620	0.998	0.990	0.848	0.849
1630	0.999	0.990	0.850	0.851
1640	0.999	0.989	0.850	0.851
1650	0.998	0.988	0.849	0.851
1660	0.995	0.987	0.847	0.852
1670	0.988	0.988	0.843	0.853
1680	0.994	0.990	0.851	0.857
1690	0.996	0.991	0.855	0.858
1700	0.996	0.990	0.855	0.859
1710	0.993	0.990	0.852	0.859
1720	0.985	0.989	0.845	0.857
1730	0.990	0.989	0.848	0.856
1740	0.995	0.989	0.852	0.855
1750	0.997	0.990	0.852	0.855
1760	0.997	0.990	0.850	0.853
1770	0.997	0.990	0.849	0.851
1780	0.995	0.989	0.845	0.849
1790	0.990	0.988	0.836	0.845
1800	0.970	0.984	0.812	0.837
