LBD [mum]	Telescope clean	Telescope dirty
0.38	0.806	0.723
0.39	0.834	0.748
0.4	0.852	0.764
0.41	0.863	0.774
0.42	0.871	0.781
0.43	0.876	0.785
0.44	0.880	0.789
0.45	0.882	0.790
0.46	0.883	0.792
0.47	0.884	0.793
0.48	0.884	0.793
0.49	0.883	0.792
0.5	0.882	0.791
0.51	0.881	0.789
0.52	0.879	0.788
0.53	0.876	0.786
0.54	0.873	0.783
0.55	0.870	0.780
0.56	0.864	0.775
0.57	0.861	0.772
0.58	0.857	0.768
0.59	0.852	0.764
0.6	0.847	0.760
0.61	0.842	0.755
0.62	0.837	0.750
0.63	0.831	0.745
0.64	0.824	0.739
0.65	0.817	0.733
0.66	0.811	0.727
0.67	0.803	0.720
0.68	0.795	0.713
0.69	0.787	0.706
0.7	0.778	0.698
0.71	0.769	0.690
0.72	0.760	0.681
0.73	0.750	0.673
0.74	0.740	0.663
0.75	0.730	0.654
0.76	0.719	0.645
0.77	0.709	0.635
0.78	0.699	0.627
0.79	0.690	0.618
0.8	0.682	0.611
0.81	0.676	0.606
0.82	0.672	0.603
0.83	0.671	0.602
0.84	0.673	0.603
0.85	0.677	0.607
0.86	0.684	0.613
0.87	0.692	0.620
0.88	0.701	0.629
0.89	0.703	0.630
0.9	0.714	0.640
0.91	0.723	0.649
0.92	0.733	0.658
0.93	0.743	0.666
0.94	0.752	0.674
0.95	0.761	0.682
0.96	0.769	0.689
0.97	0.777	0.696
0.98	0.784	0.703
0.99	0.791	0.709
1	0.797	0.715
1.01	0.803	0.720
1.02	0.809	0.725
1.03	0.814	0.730
1.04	0.819	0.734
1.05	0.824	0.739
1.06	0.828	0.742
1.07	0.832	0.746
1.08	0.836	0.750
1.09	0.840	0.753
1.1	0.844	0.756
1.11	0.847	0.759
1.12	0.850	0.762
1.13	0.853	0.765
1.14	0.856	0.767
1.15	0.858	0.769
1.16	0.861	0.772
1.17	0.863	0.774
1.18	0.865	0.776
1.19	0.867	0.777
1.2	0.869	0.779
1.21	0.871	0.781
1.22	0.873	0.783
1.23	0.875	0.784
1.24	0.877	0.786
1.25	0.878	0.787
1.26	0.879	0.788
1.27	0.881	0.790
1.28	0.883	0.791
1.29	0.884	0.792
1.3	0.885	0.793
1.31	0.886	0.795
1.32	0.888	0.796
1.33	0.889	0.797
1.34	0.889	0.797
1.35	0.890	0.798
1.36	0.891	0.799
1.37	0.892	0.800
1.38	0.893	0.801
1.39	0.894	0.802
1.4	0.895	0.802
1.41	0.896	0.803
1.42	0.897	0.804
1.43	0.897	0.804
1.44	0.898	0.805
1.45	0.899	0.806
1.46	0.900	0.807
1.47	0.901	0.807
1.48	0.901	0.808
1.49	0.902	0.809
1.5	0.902	0.809
1.51	0.903	0.810
1.52	0.903	0.810
1.53	0.904	0.810
1.54	0.904	0.811
1.55	0.905	0.812
1.56	0.906	0.812
1.57	0.906	0.813
1.58	0.907	0.813
1.59	0.907	0.814
1.6	0.908	0.814
1.61	0.908	0.814
1.62	0.909	0.815
1.63	0.909	0.815
1.64	0.909	0.815
1.65	0.909	0.815
1.66	0.910	0.816
1.67	0.911	0.816
1.68	0.911	0.817
1.69	0.912	0.818
1.7	0.912	0.818
1.71	0.913	0.818
1.72	0.913	0.819
1.73	0.913	0.819
1.74	0.914	0.819
1.75	0.914	0.819
1.76	0.914	0.819
1.77	0.913	0.819
1.78	0.913	0.819
1.79	0.913	0.819
1.8	0.913	0.819
1.81	0.913	0.819
1.82	0.914	0.819
1.83	0.915	0.820
1.84	0.915	0.820
1.85	0.915	0.820
1.86	0.915	0.821
1.87	0.915	0.821
1.88	0.915	0.821
1.89	0.915	0.820
1.9	0.915	0.820
1.91	0.915	0.820
1.92	0.915	0.820
1.93	0.915	0.820
1.94	0.915	0.820
1.95	0.915	0.821
1.96	0.916	0.821
1.97	0.916	0.822
1.98	0.917	0.822
1.99	0.917	0.822
2	0.917	0.822
2.01	0.917	0.822
2.02	0.917	0.822
2.03	0.916	0.822
2.04	0.916	0.821
2.05	0.916	0.821
2.06	0.916	0.821
2.07	0.915	0.821
2.08	0.915	0.820
2.09	0.916	0.821
2.1	0.916	0.821
2.11	0.917	0.822
2.12	0.917	0.822
2.13	0.918	0.823
2.14	0.918	0.823
2.15	0.919	0.824
2.16	0.919	0.824
2.17	0.918	0.823
2.18	0.918	0.823
2.19	0.918	0.823
2.2	0.918	0.823
2.21	0.917	0.822
2.22	0.917	0.822
2.23	0.917	0.822
2.24	0.916	0.822
2.25	0.916	0.822
2.26	0.917	0.822
2.27	0.917	0.822
2.28	0.917	0.822
2.29	0.918	0.823
2.3	0.918	0.823
2.31	0.919	0.824
2.32	0.920	0.825
2.33	0.920	0.825
2.34	0.920	0.825
2.35	0.920	0.825
2.36	0.920	0.825
2.37	0.919	0.824
2.38	0.919	0.824
2.39	0.919	0.824
2.4	0.918	0.823
