#order	central_wave	range	wave_min	wave_max
149	979.767	13.539	972.237	985.777
148	986.434	13.643	978.848	992.491
147	993.191	13.746	985.548	999.294
146	1000.042	13.850	992.342	1006.191
145	1006.988	13.954	999.229	1013.183
144	1014.031	14.059	1006.214	1020.273
143	1021.173	14.165	1013.297	1027.462
142	1028.416	14.272	1020.482	1034.753
141	1035.763	14.379	1027.769	1042.148
140	1043.215	14.486	1035.162	1049.648
139	1050.776	14.595	1042.662	1057.257
138	1058.446	14.705	1050.272	1064.976
137	1066.230	14.815	1057.994	1072.809
136	1074.128	14.926	1065.831	1080.758
135	1082.144	15.039	1073.786	1088.824
134	1090.281	15.152	1081.860	1097.012
133	1098.541	15.267	1090.057	1105.323
132	1106.927	15.382	1098.379	1113.761
131	1115.442	15.499	1106.830	1122.329
130	1124.089	15.617	1115.412	1131.029
129	1132.871	15.737	1124.128	1139.865
128	1141.792	15.857	1132.982	1148.840
127	1150.854	15.979	1141.977	1157.956
126	1160.060	16.103	1151.116	1167.219
125	1169.416	16.228	1160.403	1176.630
124	1178.923	16.354	1169.840	1186.194
123	1188.586	16.483	1179.433	1195.915
122	1198.409	16.612	1189.184	1205.797
121	1208.395	16.744	1199.099	1215.843
120	1218.549	16.877	1209.180	1226.057
119	1228.876	17.012	1219.432	1236.444
118	1239.378	17.149	1229.860	1247.009
117	1250.062	17.288	1240.468	1257.755
116	1260.932	17.429	1251.260	1268.689
115	1271.992	17.572	1262.241	1279.814
114	1283.248	17.717	1273.418	1291.135
113	1294.705	17.865	1284.794	1302.659
112	1306.368	18.015	1296.375	1314.390
111	1318.243	18.167	1308.167	1326.334
110	1330.336	18.322	1320.175	1338.497
109	1342.654	18.479	1332.406	1350.885
108	1355.201	18.639	1344.866	1363.505
107	1367.985	18.800	1357.561	1376.361
104	1407.826	19.306	1397.126	1416.432
103	1421.627	19.480	1410.832	1430.312
102	1435.701	19.658	1424.809	1444.467
101	1450.057	19.839	1439.066	1458.905
100	1464.703	20.023	1453.611	1473.634
99	1479.648	20.211	1468.453	1488.663
98	1494.900	20.402	1483.601	1504.003
97	1510.471	20.597	1499.065	1519.662
96	1526.369	20.796	1514.854	1535.650
95	1542.606	21.000	1530.979	1551.979
94	1559.192	21.207	1547.452	1568.659
93	1576.138	21.418	1564.282	1585.701
92	1593.457	21.635	1581.483	1603.118
91	1611.160	21.855	1599.066	1620.921
90	1629.261	22.080	1617.044	1639.124
89	1647.773	22.311	1635.430	1657.741
88	1666.712	22.546	1654.239	1676.786
87	1686.091	22.788	1673.487	1696.274
86	1705.925	23.034	1693.187	1716.220
85	1726.232	23.286	1713.356	1736.642
84	1747.028	23.544	1734.010	1757.554
83	1768.331	23.808	1755.169	1778.977
82	1790.160	24.079	1776.850	1800.929
81	1812.535	24.356	1799.073	1823.430
80	1835.477	24.641	1821.859	1846.500
79	1859.007	24.932	1845.230	1870.162
78	1883.147	25.230	1869.208	1894.438
77	1907.924	25.537	1893.817	1919.353
