target Mean_S/N_(ph/pxl) Mean_S/N_Y(ph/pxl) Mean_S/N_J(ph/pxl) Mean_S/N_H(ph/pxl) Hmax_1619nm(ph/pxl) spRV enRV_vsini01 enRV_vsini1 enRV_vsini5 enRV_vsini10 
HD129858_HA_301 174.55 190.30 204.56 190.87 234.69 -- -- -- -- -- 
Gl699_HA_451 248.30 216.14 287.61 332.13 408.57 0.46 0.40 0.42 0.72 1.39 
GJ581_HA_602 157.69 135.31 179.23 216.02 264.10 0.81 0.69 0.71 1.21 2.31 
HD195094_HA_451 193.82 211.28 227.11 211.92 260.53 -- -- -- -- -- 
HD210049_HA_300 278.55 303.59 326.31 304.51 374.24 -- -- -- -- -- 
Gl699_HE_451 284.04 261.55 330.26 363.86 447.89 0.46 0.40 0.41 0.67 1.26 
TOI-1130_HA_897 57.40 48.40 64.01 81.03 99.47 3.16 2.12 2.18 3.57 6.70 
Gl846_HE_600 227.40 207.48 254.51 302.68 371.63 0.87 0.61 0.63 0.98 1.81 
Gl846_HA_601 199.37 171.86 222.14 276.72 339.46 0.88 0.63 0.64 1.05 1.98 
GJ1265_HA_900 53.59 42.86 61.44 76.75 94.90 1.74 1.57 1.62 2.81 5.49 
HIP102497_HA_300 172.98 189.75 202.88 187.80 230.36 -- -- -- -- -- 
HIP102497_HE_300 198.73 229.55 232.53 204.90 251.80 -- -- -- -- -- 
HR4468_HA_300 254.81 279.44 298.75 276.60 339.11 -- -- -- -- -- 
HD96819_HA_300 192.31 209.64 225.35 210.27 258.52 -- -- -- -- -- 
HD96819_HE_300 221.13 253.83 258.51 229.69 282.81 -- -- -- -- -- 
HD96819_HE_600 313.89 360.06 366.68 326.05 400.93 -- -- -- -- -- 
Proxima_HA_900 339.35 284.12 391.41 467.23 575.59 0.29 0.26 0.26 0.46 0.90 
Proxima_HE_900 388.31 344.27 449.92 512.37 631.40 0.29 0.25 0.26 0.43 0.81 
GJ581_HE_900 220.32 200.09 251.50 289.26 353.90 0.66 0.56 0.57 0.92 1.73 
Gl581_HA_900 192.16 165.46 218.56 263.58 323.01 0.67 0.57 0.58 0.99 1.89 
Gl699_HE_451 284.04 261.55 330.26 363.86 447.89 0.46 0.40 0.41 0.67 1.26 
Gl699_HE_600 327.99 302.09 381.27 419.99 516.84 0.40 0.35 0.36 0.58 1.09 
TOI-1130_HE_1800 97.70 89.05 109.85 130.14 160.07 2.11 1.41 1.44 2.25 4.13 
HIP102497_HE_600 282.33 325.84 330.05 291.11 357.17 -- -- -- -- -- 
HIP102497_HA_600 244.98 268.66 287.23 265.93 326.03 -- -- -- -- -- 
Gl846_HA_600 199.21 171.72 221.95 276.49 339.18 0.88 0.63 0.64 1.05 1.98 
Gl846_HE_600 227.40 207.48 254.51 302.68 371.63 0.87 0.61 0.63 0.98 1.81 
